,LOCATION_N,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Park_Name,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
99,Gregg Hill Pocket Park,3271,892152.1101509552,1.51,114,102,94,11,Gregg Hill Pocket Park,172,154,142,17
100,Grey Rock Golf Course,24436,82342103.9442943,296.9573,36,31,26,5,Grey Rock Golf Course,10958,9270,7928,1688
101,Gullett School Park,3238,1916557.9595864895,14.58,19,17,15,1,Gullett School Park,277,252,222,24
102,"Gustavo ""Gus"" L. Garcia District Park",23036,17135081.992199298,47.271,128,30,14,98,"Gustavo ""Gus"" L. Garcia District Park",6078,1443,677,4635
103,Hall/Goodnight Planting Strip,1937,1500728.639008536,1.229913,159,144,137,15,Hall/Goodnight Planting Strip,196,177,168,18
104,Hancock Golf Course,10762,17711404.765773203,51.83,66,58,48,8,Hancock Golf Course,3438,3011,2529,426
105,Harpers Branch Creek Greenbelt,23458,54430129.765538685,1.6919,7300,5262,4554,2038,Harpers Branch Creek Greenbelt,12351,8903,7706,3448
106,Harris Branch Neighborhood Park,6164,3178845.2930483124,10.01,19,12,6,6,Harris Branch Neighborhood Park,194,124,62,69
107,Harris Triangle,1688,651666.7664787819,0.18,540,517,469,23,Harris Triangle,97,93,84,4
108,Hartford Planting Strip,2937,1384945.9830666664,1.8588,116,111,104,5,Hartford Planting Strip,216,206,194,9
109,Hartford Triangle,2937,732847.7556182614,0.6,183,178,167,5,Hartford Triangle,110,106,100,3
110,Haskell House,2121,683997.0884027807,0.2405,750,706,635,43,Haskell House,180,170,152,10
111,Heath Eiland and Morgan Moss BMX Skate Park,8788,734976.1551178386,1.3186,53,46,40,7,Heath Eiland and Morgan Moss BMX Skate Park,70,60,53,9
112,Heritage Oaks Neighborhood Park,7203,3544974.6755838324,3.527,257,115,97,142,Heritage Oaks Neighborhood Park,909,409,343,500
113,Hielscher Tract Greenbelt,25291,56751634.908038676,66.58,126,106,86,20,Hielscher Tract Greenbelt,8428,7091,5740,1336
114,Highland Neighborhood Park,5865,670833.6438269075,0.241,462,255,225,207,Highland Neighborhood Park,111,61,54,49
115,Hill School Park,1992,1503731.9782357747,5.51,31,27,23,3,Hill School Park,170,151,128,19
116,Holly Shores at Town Lake Metro Park,8865,8225872.253646626,17.619,62,24,18,38,Holly Shores at Town Lake Metro Park,1109,432,322,676
117,Houston School Park,4655,1467732.1235808404,8.74,52,4,3,47,Houston School Park,456,43,27,412
118,Hubert C. Schroeter Neighborhood Park,6365,4419864.867123403,12.08,73,69,62,4,Hubert C. Schroeter Neighborhood Park,892,834,755,57
119,International Shores at Town Lake Metro Park,5206,3596277.5048828134,6.06263555,150,118,98,32,International Shores at Town Lake Metro Park,911,717,600,194
120,J.J. Seabrook Greenbelt,21165,52694280.787009574,2.90116414,2746,2188,1374,557,J.J. Seabrook Greenbelt,7967,6349,3987,1618
121,Janet Long Fish Park,8946,4922934.952763908,27.872,178,103,47,74,Janet Long Fish Park,4964,2892,1337,2072
122,Jimmy Clay Golf Course,23206,79438067.69215558,203.11864411,33,8,6,24,Jimmy Clay Golf Course,6777,1763,1250,5013
123,John Trevino Jr. Metro Park at Morrison Ranch,18837,36243651.263488054,330.22,12,5,2,7,John Trevino Jr. Metro Park at Morrison Ranch,4281,1843,903,2437
124,Joslin Neighborhood Park,7293,3558310.9133969503,5.89,74,56,52,18,Joslin Neighborhood Park,438,331,308,106
125,Kealing School Park,2452,2041650.0401335515,14.91436275,25,14,8,10,Kealing School Park,379,221,123,158
126,Kendra Page Neighborhood Park,7001,4855256.148185109,15.2491,81,12,7,69,Kendra Page Neighborhood Park,1245,186,118,1059
127,Kennemer Pool,6250,885868.6241563023,1.04,339,120,86,219,Kennemer Pool,353,125,90,228
128,Lakeline Neighborhood Park,5627,2110095.459439266,10.45,122,98,86,23,Lakeline Neighborhood Park,1284,1034,908,249
129,Lakeshore at Town Lake Metro Park,4575,3638321.3132594344,3.28252585,183,83,52,100,Lakeshore at Town Lake Metro Park,603,272,172,330
130,Lamar Beach at Town Lake Metro Park,16766,20050524.815844323,65.40901382,49,45,38,4,Lamar Beach at Town Lake Metro Park,3249,2963,2494,286
131,Lamar Senior Activity Center,3441,622971.790431485,1.876,113,92,60,21,Lamar Senior Activity Center,212,172,114,39
132,Latta Branch Greenbelt,50460,186379900.45182127,126.41990405,213,165,140,48,Latta Branch Greenbelt,26980,20870,17738,6110
133,Lawrence Street Pocket Park,7417,943339.8514959252,0.9854,336,38,22,297,Lawrence Street Pocket Park,331,37,22,293
134,Legend Oaks Neighborhood Park,4582,3496195.5618785466,7.3,52,43,39,8,Legend Oaks Neighborhood Park,382,320,290,61
135,Little Stacy Neighborhood Park,4668,3965244.7223479906,6.7793,109,97,87,12,Little Stacy Neighborhood Park,744,659,592,85
136,Little Walnut Creek Greenbelt,35651,101322259.93350033,205.806,59,34,14,25,Little Walnut Creek Greenbelt,12251,7048,3036,5203
137,Little Zilker Neighborhood Park,4887,3450564.996888067,4.57,169,132,123,37,Little Zilker Neighborhood Park,776,604,565,172
138,Longhorn Shores at Town Lake Metro Park,3924,3921324.823261477,10.63606158,53,21,12,31,Longhorn Shores at Town Lake Metro Park,570,230,135,339
139,Longview Neighborhood Park,5934,3690464.9527596086,20.056,21,15,15,6,Longview Neighborhood Park,433,304,301,129
140,Lott Pocket Park,2192,881778.1052765882,1.12485569,138,84,49,54,Lott Pocket Park,156,94,55,61
141,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,1043,64760515.550932735,290.6231989,0,0,0,0,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,245,157,34,87
142,Lower Bull Creek Greenbelt,23617,117126855.5661306,115.454,91,80,65,10,Lower Bull Creek Greenbelt,10519,9341,7569,1177
143,Lucy Read School Park,1061,1457913.1884588369,5.14,45,41,37,3,Lucy Read School Park,235,215,194,19
144,MLK Station Neighborhood Park,5714,4533992.672535572,7.917,120,99,64,21,MLK Station Neighborhood Park,953,787,506,166
145,Mabel Davis District Park,10519,18361921.636155706,53.97237583,76,34,23,41,Mabel Davis District Park,4117,1858,1280,2258
146,Maggie Boatright Area of the Bull Creek Greenbelt,8666,23663369.3665202,8.986,190,174,91,15,Maggie Boatright Area of the Bull Creek Greenbelt,1709,1567,826,141
147,Manuel and Robert Donley Pocket Park,458,712814.5162375292,0.3883,109,50,42,59,Manuel and Robert Donley Pocket Park,42,19,16,23
148,Marble Creek Greenbelt,17973,55962064.95816914,105.78,41,15,9,26,Marble Creek Greenbelt,4416,1589,1036,2826
149,Marble Creek Neighborhood Park,14420,3062484.2351030456,8.511,28,10,7,17,Marble Creek Neighborhood Park,245,93,60,152
150,Margaret Hoffman Oak Park,5453,565279.8464626891,0.2208668,459,405,355,53,Margaret Hoffman Oak Park,101,89,78,11
151,Mary Dawson Pocket Park,4424,753900.5263532287,0.92,151,104,103,46,Mary Dawson Pocket Park,139,96,94,43
152,Mary Frances Baylor Clarksville Pocket Park,2956,933257.704890418,1.48911304,132,130,105,2,Mary Frances Baylor Clarksville Pocket Park,196,193,156,3
153,Mary Moore Searight Metro Park,37094,104568332.54794814,342.65952,48,29,23,19,Mary Moore Searight Metro Park,16729,10197,8189,6532
154,Mayfield Park,7195,5758336.020076103,23.331,21,20,19,1,Mayfield Park,499,474,458,25
155,Meadowview Triangle,2319,740837.0189542562,0.41758451,508,255,225,253,Meadowview Triangle,212,106,94,105
