,LOCATION_N,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Park_Name,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
250,Stratford Overlook Greenbelt,11323,30336663.70153279,0.07,80170,76317,59302,3853,Stratford Overlook Greenbelt,5611,5342,4151,269
251,Swede Hill Pocket Park,878,823640.6091528048,0.5694,167,152,128,15,Swede Hill Pocket Park,95,86,73,8
252,Symphony Square,5232,636486.9084408202,0.484,218,192,167,26,Symphony Square,105,92,81,12
253,T.A. Brown Neighborhood Park,6970,3373690.7599290158,2.29,422,206,180,215,T.A. Brown Neighborhood Park,967,472,413,494
254,Tahoe Trail Pocket Park,3911,707529.763118092,0.308,692,404,351,288,Tahoe Trail Pocket Park,213,124,108,88
255,Tanglewood Neighborhood Park,8719,5019021.566492489,14.1402,73,69,35,4,Tanglewood Neighborhood Park,1036,978,507,57
256,Tannehill Branch Greenbelt,19608,51582607.32796999,4.504,1728,1130,762,597,Tannehill Branch Greenbelt,7784,5093,3436,2690
257,Tarrytown Neighborhood Park,2937,3236944.7990134163,2.2502,238,221,207,16,Tarrytown Neighborhood Park,535,497,467,37
258,The Circle Greenbelt,22785,50377500.17275149,1.208,7842,6557,5870,1285,The Circle Greenbelt,9474,7921,7091,1552
259,Tom Lasseter-South Lamar Neighborhood Park,3921,3071074.992408143,2.084,359,225,197,133,Tom Lasseter-South Lamar Neighborhood Park,748,470,411,278
260,Trailhead Neighborhood Park,15804,5191212.335270881,13.63828257,47,42,28,5,Trailhead Neighborhood Park,653,579,384,73
261,Triangle Commons Neighborhood Park,3345,4831933.640066481,6.05,108,90,74,17,Triangle Commons Neighborhood Park,654,548,452,105
262,Umlauf Sculpture Garden,5823,2516752.6815838176,7.8449,58,51,44,6,Umlauf Sculpture Garden,458,407,351,51
263,Upper Bull Creek Greenbelt,48796,147861220.64682078,181.7298694,84,76,49,8,Upper Bull Creek Greenbelt,15343,13881,8921,1462
264,Veterans Pocket Park,5002,626904.5709319565,0.67361979,107,104,27,2,Veterans Pocket Park,72,70,18,1
265,Vic Mathias Shores at Town Lake Metro Park,8444,1913542.6259016083,5.76681669,42,38,35,3,Vic Mathias Shores at Town Lake Metro Park,246,224,205,22
266,Waller Beach at Town Lake Metro Park,12963,10096138.323836982,28.80830482,82,65,55,16,Waller Beach at Town Lake Metro Park,2384,1898,1588,486
267,Waller Creek Greenbelt,38559,84325577.97266705,4.25945033,3580,2722,2180,858,Waller Creek Greenbelt,15250,11595,9288,3654
268,Walnut Creek Metro Park,40981,104654589.88189459,290.52051343,56,41,27,15,Walnut Creek Metro Park,16423,12012,8129,4410
269,Walnut Creek Sports Park,24275,30458064.54154572,227.96811979,15,6,1,8,Walnut Creek Sports Park,3480,1444,261,2036
270,Walsh Boat Landing,4997,3852849.266533213,3.92369047,111,97,92,13,Walsh Boat Landing,436,382,363,53
271,Walter E. Long Metro Park,27630,136079151.80397874,1885.44189589,5,1,0,3,Walter E. Long Metro Park,10039,3672,1490,6367
272,Waterloo Neighborhood Park,5232,4341616.144710517,10.0212,40,34,29,6,Waterloo Neighborhood Park,410,342,293,68
273,Wells Creek Greenbelt,28834,52076771.173615925,9.18,1042,791,432,250,Wells Creek Greenbelt,9572,7270,3967,2302
274,West Austin Neighborhood Park,5368,3258905.285280119,3.31956766,205,181,165,23,West Austin Neighborhood Park,680,603,549,77
275,West Bouldin Creek Greenbelt,30424,60878008.1124983,16.86731362,694,588,536,105,West Bouldin Creek Greenbelt,11710,9933,9044,1777
276,Westcreek Pocket Park,2990,943265.905306547,1.293,143,119,102,24,Westcreek Pocket Park,186,153,131,32
277,Westenfield Neighborhood Park,4311,3779201.3437765217,4.94370761,150,133,130,16,Westenfield Neighborhood Park,742,662,645,80
278,William H. Russell Karst Preserve,16559,27253520.623890344,190.921,20,15,11,5,William H. Russell Karst Preserve,3875,2900,2271,974
279,Williams School Park,4552,1680396.860019889,9.892,23,9,8,13,Williams School Park,231,95,83,136
280,Williamson Creek Central Greenbelt,63443,168407129.79267332,91.22899701,374,192,161,181,Williamson Creek Central Greenbelt,34123,17533,14758,16589
281,Williamson Creek East Greenbelt,43650,110860522.07057138,87.28068991,316,78,53,237,Williamson Creek East Greenbelt,27604,6870,4685,20733
282,Williamson Creek West Greenbelt,37062,121353894.15202951,76.25644663,175,138,100,36,Williamson Creek West Greenbelt,13356,10541,7689,2814
283,Wooldridge School Park,6179,1539404.5402896635,9.06898355,66,22,14,44,Wooldridge School Park,607,207,135,400
284,Wooldridge Square,4109,941319.220576294,1.7488,97,86,75,11,Wooldridge Square,170,150,131,19
285,Wooten Neighborhood Park,7928,3720345.0174560384,6.28,148,63,52,84,Wooten Neighborhood Park,933,401,327,531
286,Wunneburger Neighborhood Park,4954,139353.34783381288,23.51,0,0,0,0,Wunneburger Neighborhood Park,22,13,11,8
287,Yates Pocket Park,7507,716141.682183356,0.9338,194,83,25,110,Yates Pocket Park,181,77,24,103
288,Yett Creek Neighborhood Park,9070,16005278.156465003,40.545,32,28,25,4,Yett Creek Neighborhood Park,1327,1164,1031,162
289,Zilker Metro Park,34855,85019935.88917354,307.84906621,48,43,38,5,Zilker Metro Park,14920,13305,11727,1614
290,Zilker Nature Preserve,10503,9835083.345000613,77.39090711,16,15,11,1,Zilker Nature Preserve,1315,1235,887,79
