,Total_PO_1,Male_new,Male_Und_2,Male_Und_3,Male_Ove_1,Female,Female_U_2,Female_U_3,Female_O_1,fullarea_age,new_area,area_acre,weight,TotPopNS,Males_ns,Males_ns_under5,Males_ns_under18,Males_ns_over65,Females_ns,Females_ns_under5,Females_ns_under18,Females_ns_over65,Under5_ns,Under18_ns,Over65_ns,W_C_under5,W_C_under18,Norm_TotPopNS,Norm_M_ns,Norm_M_ns_un5,Norm_M_ns_un18,Norm_M_ns_ov65,Norm_F_ns,Norm_F_ns_un5,Norm_F_ns_un18,Norm_F_ns_ov65,Norm_Under5,Norm_Under18,Norm_Over65_ns,Norm_W_C_under5,Norm_W_C_under18
count,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0
mean,1643.091401502242,833.3350490180768,56.579581734345574,178.13553361602968,61.543171194929755,809.7563524841651,52.1535295508088,168.80793297963496,79.66285196349132,14055548.889655665,8596039.239439318,197.33790724149026,0.5423423603163351,901.7215284005562,454.6339840341654,31.087146441412173,100.49759056441067,34.20663388184176,447.0875443663908,28.59525623117074,94.44466672129474,44.617356776990206,59.68240267258291,194.94225728570538,78.82399065883197,478.17469080780296,547.5851349308015,17.86114801331654,9.097496125151517,0.5370512307824373,2.1831441818109325,0.6143555417647919,8.763651888191808,0.5133233488416159,2.0828586272501655,0.7338677848003836,1.0503745796240531,4.2660028090610975,1.3482233265651753,9.300703118974246,10.946796070002739
std,1113.6044182517667,560.6042678432696,63.256009407616084,177.15363751977847,52.37803541097335,575.4960361739523,58.276254611435114,165.11251082572952,73.46512561804091,21715835.773897525,17221651.89497051,395.35472669812924,0.3592873218229465,956.5614924082843,479.4070699606014,44.24823658260721,133.40445195398425,42.403537930412604,487.1561247050774,43.125030502112395,124.86731734251781,58.20018824630718,79.02457335533283,250.9671117008188,96.75826228579672,517.8200040553866,598.8220476506317,135.5160751621737,68.32115423446253,3.7563693300491865,20.435794575552674,4.846111041904203,67.31328395614968,3.87458919889941,19.452299703952754,5.599386822313449,7.44986601259133,39.73405518274365,10.336564937769717,71.0459134437987,87.30905462554287
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029357869238395215,9.7705389333555e-06,2.243007101321281e-10,7.678265173510916e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,973.2499994827047,488.74999980935837,10.99999999024278,60.9999999745613,22.99999996525684,454.25000010017743,12.99999999346279,61.00000000049491,28.01165126289608,4970786.755452352,1098835.6746459685,25.22579602033904,0.2017121615651868,205.00897488421705,103.51775626086587,1.343463115680406,12.872263135359274,4.684651927544083,101.24036141157691,1.4684050048914965,13.540231263359013,5.375074357973961,6.6352573394469925,30.746306436448087,12.647820691399103,111.86814414871641,126.14520489674487,4.560986213528732,2.2695482960367914,0.0473456399216871,0.287275334243643,0.11783665893996825,2.1915367326556554,0.05440164160984165,0.2963008702933598,0.13861452965757767,0.15399809126975578,0.6527271034122492,0.31256482793200246,2.3244041164280795,2.6168093028521016
50%,1384.4999994010425,711.299573875782,38.999999988111036,129.00000004379882,49.42174437885711,697.000000046602,34.999999991891514,124.4999999292628,62.99999992750266,7939940.741025101,3558512.064354082,81.69219615137929,0.5350093975901462,620.9102609545282,321.61866432287115,14.249122383316607,53.82287278669462,18.85259518991274,318.0794755075832,14.178386275583208,52.251518044453064,23.644403414180033,32.24931785511332,111.17740405672495,43.50593946222094,338.9861236386904,375.39975430633626,7.553732705882548,3.7603703075621437,0.17516344028082137,0.6259590205504726,0.252255339755448,3.6236277217030692,0.15540879773084493,0.5972640203204339,0.3210964858005546,0.3800953778622227,1.248887894509394,0.5930249040376571,3.8652726867754694,4.489712022594987
75%,2059.844042909293,1037.5000011073266,78.99999997337075,230.86643670581086,86.99999864679134,1020.749999412585,71.014364730479,222.68962078907748,108.75757772152303,13179010.01628242,8264232.43924124,189.72067124061616,0.9204633268991392,1282.045892363231,632.2499536868501,41.9457836528825,128.9924203798695,50.620238983647134,645.0164936035051,35.92143124584659,126.690550702493,62.58016137401431,78.9376634226198,257.6285644378163,110.22506588285334,690.0005912633029,768.7923496378243,11.183848537502026,5.804240955321634,0.402897323820116,1.1541537701701907,0.4287343858877298,5.434700623637735,0.3817419607212278,1.1123745604913746,0.5478143187864097,0.7615842633066103,2.251440950182116,0.9867356921457112,5.857068655034657,6.51302091008094
max,9001.794525718175,4341.141717078542,400.0601791807587,1395.7759095693548,318.74243474186994,5226.99999864519,394.12745426098707,1286.1210777922684,504.5980818216775,275485663.75916743,186417295.775542,4279.552244617585,1.0000000000000004,8678.474109532497,4185.2195014939925,330.0178533273779,1105.7906968469144,301.3078590591783,4493.254608038505,379.9714487914335,1032.932093801955,454.018497524325,622.5260386752855,2138.7227906488697,755.3263565835034,4735.809197922356,5599.045304885419,2406.772363524586,1171.0390448922103,65.42117569230224,379.6537777080663,81.0202492595331,1235.7333186323758,83.45272787471539,340.1901135999717,115.57741038973397,142.76778333723732,687.2687656588109,196.26352707690674,1301.1544943246781,1532.309315104146
