,Total_pop_,Totalpop_served,Males_served,Males_served_Under5,Males_served_Under18,Males_served_Over65,Females_served,Females_served_Under5,Females_served_Under18,Females_served_Over65,ASSET_SIZE,Totalpop_served_norm,Males_served_norm,Males_served_Under5_norm,Males_served_Under18_norm,Males_served_Over65_norm,Females_served_norm,Females_served_Under5_norm,Females_served_Under18_norm,Females_served_Over65_norm,Under5_served,Under5_served_norm,Under18_served,Under18_served_norm,Over65_served,Over65_served_norm
count,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0
mean,6459.498281786941,428.93127147766324,220.62199312714776,13.962199312714777,45.02061855670103,15.484536082474227,207.7766323024055,12.828178694158076,42.106529209621996,19.57044673539519,57.519619521890036,94.32646048109966,48.580756013745706,2.3848797250859106,8.085910652920962,2.993127147766323,45.264604810996566,2.536082474226804,8.470790378006873,4.687285223367698,27.278350515463917,5.254295532646048,87.61168384879726,16.982817869415808,35.529209621993125,8.11340206185567
std,5444.550842039108,600.5105719171311,311.1217990746743,23.456532373912676,71.20843315731301,23.254712567442827,291.2654819392596,21.6690951814272,64.99946147242436,26.625454883077087,172.05871149344838,275.26630357462113,134.17565497143167,7.70554960576229,31.61747946472543,11.752620581472607,142.01392143304673,9.771946323271465,33.59620779699199,26.246480417928645,44.08590570020933,16.567852349799992,134.76212913583637,64.90435706349254,49.08418179491838,37.6976747536813
min,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06846614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,3046.5,164.0,84.0,2.0,10.0,5.0,76.5,3.0,12.0,5.0,3.231201275,11.5,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,23.0,1.0,11.0,1.0
50%,4861.0,247.0,125.0,7.0,23.0,9.0,121.0,6.0,22.0,11.0,8.36,31.0,15.0,0.0,2.0,0.0,16.0,0.0,2.0,1.0,14.0,1.0,47.0,4.0,21.0,2.0
75%,7941.5,450.0,234.0,17.0,45.5,18.0,220.0,14.0,43.5,23.0,29.330774910000002,77.0,41.5,1.0,6.0,2.0,36.0,1.0,7.0,3.0,29.0,4.0,87.0,12.0,39.0,6.0
max,44123.0,5414.0,2789.0,189.0,511.0,194.0,2625.0,197.0,545.0,205.0,1885.44189589,3663.0,1723.0,79.0,479.0,168.0,1940.0,142.0,516.0,414.0,386.0,222.0,1033.0,995.0,398.0,582.0
