,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
count,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0
mean,12277.9793814433,24427568.202972345,57.69334749948453,619.6426116838488,499.2302405498282,393.1512027491409,119.92096219931271,3613.5670103092784,2316.6941580756015,1740.298969072165,1296.3024054982818
std,14049.27829387986,45588880.26528935,172.0331764594256,4825.107430224995,4550.853649960436,3555.2186272300783,431.00423704666105,7215.86219462882,4984.335424791136,3889.2699363627985,3001.056391815432
min,458.0,1078.2809709545177,0.06846614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,4289.5,1784428.9066837742,3.231201275,47.0,28.5,18.0,8.0,293.5,173.0,127.5,61.0
50%,7157.0,4082415.12127526,8.45,96.0,58.0,43.0,22.0,724.0,435.0,327.0,214.0
75%,14736.5,23665573.109349,30.28492927,187.0,122.0,99.0,54.5,3271.5,1851.5,1316.0,979.5
max,112988.0,357439581.9679697,1885.44189589,80170.0,76317.0,59302.0,4102.0,59213.0,51319.0,41480.0,20733.0
