,Total_POP_,Less tha_1,"$10,000 _1","$15,000 _1","$20,000 _1","$25,000 _1","$30,000 _1","$35,000 _1","$40,000 _1","$45,000 _1","$50,000 _1","$60,000 _1","$75,000 _1","$100,000_1","$125,000_1","$150,000_1","$200,000_1",fullarea_income,new_area,area_acre,weight,TotPopNS,"Lessthan25,000","25,000to49,999","50,000to74,999","75,000to99,999","100,000to149,999","150,000ormore",Norm_TotPopNS,"Norm_Lessthan25,000","Norm_25,000to49,999","Norm_50,000to74,999","Norm_75,000to99,999","Norm_100,000to149,999","Norm_150,000ormore"
count,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0
mean,725.1109020671631,39.87402676774882,23.282952402897212,22.702597997942295,30.136403216481114,30.60501378244677,30.501590196331737,30.906538988329444,32.11168628188838,27.72818819486015,55.98304327405889,75.83721800413868,89.06688915555033,70.57953787935124,45.09816019749819,52.088935904994166,68.60811982264579,18774233.570390698,194133.54872408792,4.456693037743065,0.0154537615952026,5.335378131962921,0.3977748768589355,0.8681248736951145,0.8405522529102178,0.5356964369851019,1.1750457583561014,1.5181839331574503,5.384044596496471,0.7125463728364388,0.8284991690445429,0.7646741766869216,0.5119432114486628,0.9630636073425811,1.603318059137325
std,469.44186672716233,53.28904296473454,28.72952628062456,29.151507743937408,37.48666695786462,38.31201232340799,34.03416760796639,33.86773522882166,41.97279327323439,31.210298654990023,55.985008384562086,64.82701036406243,72.34452697401544,72.21170356869078,48.65994900362799,62.10568710792808,105.50553013466512,27202147.907802463,1655039.245576726,37.99447303895146,0.09937369384592629,38.147977620101784,2.6928660689947526,5.590647005372021,5.606575261491342,3.4163681107968475,8.697306048831141,15.613843563105203,40.51168583971047,2.3174774575626946,2.830312209342729,4.0704365733705945,2.606453292217295,9.100125748591063,19.830630266821338
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32938.45283869711,1.1860855574606644e-09,2.7228777719482653e-14,4.305434777533662e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,413.0767560832702,1.2781447371373935,0.0,0.0,4.002954653032536,3.728141300697028,0.0,5.500000007496919,7.999999658542045,3.0819823863275864,18.72602406235844,29.00000003531742,34.99999705660886,24.499999875370996,10.583665845886713,11.499998953240116,6.242088443974022,6684016.92947202,0.0001522920111190389,3.496143505946715e-09,1.3388885732037857e-11,7.922951479557449e-09,6.435829392153243e-10,1.0651078043948344e-09,1.082162072963286e-09,6.188917031324046e-10,7.34998866414089e-10,4.050314936053632e-10,1.7012115613401007,0.10227923101364646,0.23654839171278838,0.19947787980975612,0.12925823289388555,0.1651942118745835,0.10089850479288286
50%,640.0000001284992,19.168373242504064,12.999999289488128,12.999999994350198,18.99999994120215,17.000000004126775,20.25401104146465,21.000000021971758,18.999999985468875,18.000000003166413,40.99999998056557,62.999999485511374,70.77289609539345,52.608774064589745,29.999999972328503,35.9999997060065,28.999999993048398,10103159.994746737,0.0002898299467049949,6.653580043732666e-09,3.1738838512792694e-11,1.7531128858209012e-08,2.36645923352157e-09,3.146556965401685e-09,2.900755068005149e-09,1.734317587960424e-09,2.20019139359345e-09,1.7700323129221308e-09,2.628716785199571,0.30708232621915715,0.45690257695007835,0.4097781360913203,0.3005712453142645,0.3458713104281784,0.26777377525671753
75%,893.0000002305195,54.686530536492846,37.99999839844338,31.296466595558734,38.99999892712198,42.00000007636495,44.99999924080483,45.500000022061,46.491725564797164,43.00000000319801,78.00000008738982,102.00485061416339,124.5000000829967,90.4999974444566,62.31975295193972,71.00000011001438,85.49999998204134,19473220.521748863,0.0007443059027444374,1.7086912367870463e-08,5.764751771485893e-11,3.522964912256784e-08,5.045894920387845e-09,7.765377984450058e-09,5.703122604658915e-09,4.34090031439786e-09,4.598143976357397e-09,5.0284807132921404e-09,3.866458071342107,0.6826379027493679,0.9346123229549497,0.7297741167953908,0.5207499534168868,0.5687537217746641,0.6094171826970515
max,3535.6676479335147,313.0000004221268,165.49526598823,151.99999999743855,209.49474772957197,330.99053197646,189.99996672753883,203.76006737279184,471.61367706472475,188.2056507968594,383.91989011234335,391.00000006411085,413.5893008795667,436.21873578400505,264.84429708872574,445.1242747561391,832.9999999304043,275485663.75916743,19935659.18891158,457.6597609942971,1.0,513.3201137784853,29.261043960015364,69.77633559695971,68.65091082926682,32.96680995324892,115.17160215426875,250.71754179037373,678.8486473754875,36.67429296736372,46.59132116772228,68.10940122510405,43.59750133365177,152.31058405833707,331.5655466233087
