,Total_POP_,Not Hisp_1,White; N_1,Hispanic_1,fullarea_race,new_area,area_acre,weight,TotPopNS,NotHisNS,WhiteNS,HispanNS,Norm_byArea,Norm_nonhis,Norm_white,Norm_hislat
count,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0
mean,1852.975240995957,1220.5512942787457,895.0760287107938,632.4239467172114,18774233.570390698,194133.54872408792,4.456693037743065,0.0154537615952026,14.653208173423877,12.189633215620201,9.857512831283248,2.4635749578036794,15.03535101552558,11.173242456767015,8.92729639663143,3.862108558758565
std,1216.6876423068827,939.3584190355705,710.5145461379987,668.5682853620265,27202147.907802463,1655039.245576726,37.99447303895146,0.09937369384592629,112.30057304606045,95.87042577780416,79.56453550863681,17.095385056251466,125.56320575424215,107.19162652197826,89.13342084227263,18.694710445165768
min,0.0,0.0,0.0,0.0,32938.45283869711,1.1860855574606644e-09,2.7228777719482653e-14,4.305434777533662e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1059.9566460907054,615.6437123985945,365.29373658810323,151.60253203514128,6684016.92947202,0.0001522920111190389,3.496143505946715e-09,1.3388885732037857e-11,2.1419250588182757e-08,1.0943418238105274e-08,7.26583926233152e-09,3.1328161705538744e-09,4.129069366075452,2.4459520607636156,1.5050385733882203,0.570291977712012
50%,1582.0000028692648,1029.999819628237,790.045258552282,355.99999959924367,10103159.994746737,0.0002898299467049949,6.653580043732666e-09,3.1738838512792694e-11,4.236741804588461e-08,2.8208077969476293e-08,1.9213903160721585e-08,1.0057529810148004e-08,6.137878441092923,4.241250329875246,3.0344640382221164,1.360134903929446
75%,2402.743661928038,1526.999974238204,1183.6370904261066,926.2057696314905,19473220.521748863,0.0007443059027444374,1.7086912367870463e-08,5.764751771485893e-11,8.903946778290557e-08,5.8294807223538395e-08,4.237662862794562e-08,3.2211537096284345e-08,9.747411768746478,6.432832631078746,5.178270449590567,3.2843480246525836
max,9001.794525718175,7431.024428881911,5423.267781788784,3051.0000013787294,275485663.75916743,19935659.18891158,457.6597609942971,1.0,1590.0472543116366,1356.7327924536648,1127.9459611472118,233.31446185797196,2102.7842059552727,1794.2336493063813,1491.6707323256303,308.5505566488917
