,LOCATION_N,Total_pop_,Totalpop_served,Males_served,Males_served_Under5,Males_served_Under18,Males_served_Over65,Females_served,Females_served_Under5,Females_served_Under18,Females_served_Over65,ASSET_SIZE,Totalpop_served_norm,Males_served_norm,Males_served_Under5_norm,Males_served_Under18_norm,Males_served_Over65_norm,Females_served_norm,Females_served_Under5_norm,Females_served_Under18_norm,Females_served_Over65_norm,Under5_served,Under5_served_norm,Under18_served,Under18_served_norm,Over65_served,Over65_served_norm,Park_Name
112,Heritage Oaks Neighborhood Park,2030,287,174,8,26,10,113,11,25,9,3.527,81,49,2,7,2,32,3,7,2,20,5,51,14,20,5,Heritage Oaks Neighborhood Park
113,Hielscher Tract Greenbelt,8224,729,363,25,133,30,366,33,122,48,66.58,10,5,0,2,0,5,0,1,0,58,0,256,3,78,1,Hielscher Tract Greenbelt
114,Highland Neighborhood Park,5865,111,66,3,9,0,44,3,9,0,0.241,462,276,15,38,4,186,12,40,2,6,28,19,79,1,6,Highland Neighborhood Park
115,Hill School Park,1992,170,74,0,8,16,96,4,15,33,5.51,31,13,0,1,3,17,0,2,6,4,0,23,4,50,9,Hill School Park
116,Holly Shores at Town Lake Metro Park,7138,455,210,8,45,12,244,2,36,40,17.619,25,11,0,2,0,13,0,2,2,11,0,81,4,52,3,Holly Shores at Town Lake Metro Park
117,Houston School Park,4655,456,220,15,71,9,235,15,84,11,8.74,52,25,1,8,1,26,1,9,1,31,3,155,17,21,2,Houston School Park
118,Hubert C. Schroeter Neighborhood Park,2941,344,196,18,29,34,148,19,27,20,12.08,28,16,1,2,2,12,1,2,1,38,3,56,4,55,4,Hubert C. Schroeter Neighborhood Park
119,International Shores at Town Lake Metro Park,2982,411,255,5,6,2,155,4,6,4,6.06263555,67,42,0,1,0,25,0,1,0,10,1,12,2,6,1,International Shores at Town Lake Metro Park
120,J.J. Seabrook Greenbelt,627,98,46,0,0,11,51,0,2,9,2.90116414,33,15,0,0,4,17,0,0,3,0,0,2,0,21,7,J.J. Seabrook Greenbelt
121,Janet Long Fish Park,8946,2794,1589,151,511,82,1204,118,365,85,27.872,100,57,5,18,2,43,4,13,3,269,9,876,31,167,6,Janet Long Fish Park
122,Jimmy Clay Golf Course,5669,171,93,5,22,2,77,9,30,3,203.11864411,0,0,0,0,0,0,0,0,0,15,0,53,0,5,0,Jimmy Clay Golf Course
123,John Trevino Jr. Metro Park at Morrison Ranch,14590,448,266,20,55,5,182,4,56,10,330.22,1,0,0,0,0,0,0,0,0,25,0,112,0,16,0,John Trevino Jr. Metro Park at Morrison Ranch
124,Joslin Neighborhood Park,1502,144,63,2,5,7,81,4,12,20,5.89,24,10,0,0,1,13,0,2,3,7,1,18,3,27,4,Joslin Neighborhood Park
125,Kealing School Park,2452,379,195,22,44,9,183,14,38,26,14.91436275,25,13,1,2,0,12,0,2,1,37,2,82,5,35,2,Kealing School Park
126,Kendra Page Neighborhood Park,7001,478,249,29,80,5,228,16,56,11,15.2491,31,16,1,5,0,15,1,3,0,45,2,137,9,16,1,Kendra Page Neighborhood Park
127,Kennemer Pool,6250,353,211,14,50,5,142,11,35,9,1.04,339,202,13,48,5,136,11,34,9,26,25,85,82,15,14,Kennemer Pool
128,Lakeline Neighborhood Park,5627,726,348,9,57,38,378,5,51,64,10.45,69,33,0,5,3,36,0,4,6,14,1,108,10,103,9,Lakeline Neighborhood Park
129,Lakeshore at Town Lake Metro Park,4117,252,146,4,19,3,105,4,36,4,3.28252585,76,44,1,6,0,32,1,11,1,8,2,56,17,7,2,Lakeshore at Town Lake Metro Park
130,Lamar Beach at Town Lake Metro Park,8497,875,429,5,27,26,446,23,34,43,65.40901382,13,6,0,0,0,6,0,0,0,28,0,62,0,70,1,Lamar Beach at Town Lake Metro Park
131,Lamar Senior Activity Center,3441,212,82,0,1,5,130,1,5,0,1.876,113,43,0,0,2,69,0,3,0,1,0,7,3,5,3,Lamar Senior Activity Center
132,Latta Branch Greenbelt,23194,2638,1348,141,389,80,1289,114,279,138,126.41990405,20,10,1,3,0,10,0,2,1,256,2,668,5,218,1,Latta Branch Greenbelt
133,Lawrence Street Pocket Park,7417,331,170,26,62,10,160,25,54,8,0.9854,336,173,26,63,10,162,25,55,8,51,52,117,119,18,19,Lawrence Street Pocket Park
134,Legend Oaks Neighborhood Park,4582,130,66,4,20,5,64,1,10,10,7.3,17,9,0,2,0,8,0,1,1,6,0,31,4,16,2,Legend Oaks Neighborhood Park
135,Little Stacy Neighborhood Park,3984,288,142,6,26,18,146,8,16,18,6.7793,42,21,0,3,2,21,1,2,2,14,2,42,6,37,5,Little Stacy Neighborhood Park
136,Little Walnut Creek Greenbelt,8643,899,432,25,116,34,466,21,99,52,205.806,4,2,0,0,0,2,0,0,0,46,0,215,1,87,0,Little Walnut Creek Greenbelt
137,Little Zilker Neighborhood Park,1722,257,153,21,40,11,104,3,9,8,4.57,56,33,4,8,2,22,0,2,1,25,5,49,10,20,4,Little Zilker Neighborhood Park
138,Longhorn Shores at Town Lake Metro Park,3924,274,158,4,19,3,116,3,35,5,10.63606158,25,14,0,1,0,10,0,3,0,7,0,54,5,8,0,Longhorn Shores at Town Lake Metro Park
139,Longview Neighborhood Park,2350,186,94,3,15,8,92,6,17,18,20.056,9,4,0,0,0,4,0,0,0,10,0,33,1,26,1,Longview Neighborhood Park
140,Lott Pocket Park,2192,156,81,8,16,3,74,6,15,10,1.12485569,138,72,7,15,3,66,5,13,9,14,13,32,28,14,12,Lott Pocket Park
141,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,1043,15,7,0,2,0,7,0,2,0,290.6231989,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary
142,Lower Bull Creek Greenbelt,15728,809,416,22,80,54,393,9,64,62,115.454,7,3,0,0,0,3,0,0,0,32,0,144,1,117,1,Lower Bull Creek Greenbelt
143,Lucy Read School Park,1061,235,134,0,1,21,100,9,15,12,5.14,45,26,0,0,4,19,1,3,2,9,1,17,3,34,6,Lucy Read School Park
144,MLK Station Neighborhood Park,3323,363,152,8,19,13,210,12,21,27,7.917,45,19,1,2,1,26,1,2,3,21,2,41,5,41,5,MLK Station Neighborhood Park
145,Mabel Davis District Park,6655,578,324,9,36,18,253,18,29,23,53.97237583,10,6,0,0,0,4,0,0,0,28,0,65,1,41,0,Mabel Davis District Park
146,Maggie Boatright Area of the Bull Creek Greenbelt,3602,5,2,0,0,0,2,0,0,0,8.986,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Maggie Boatright Area of the Bull Creek Greenbelt
147,Manuel and Robert Donley Pocket Park,458,42,22,0,4,0,20,0,2,5,0.3883,109,57,0,11,0,51,0,5,13,0,0,6,17,5,13,Manuel and Robert Donley Pocket Park
148,Marble Creek Greenbelt,15444,310,154,7,30,5,155,14,56,7,105.78,2,1,0,0,0,1,0,0,0,21,0,86,0,12,0,Marble Creek Greenbelt
149,Marble Creek Neighborhood Park,12928,74,33,2,8,1,40,3,14,1,8.511,8,3,0,0,0,4,0,1,0,6,0,22,2,2,0,Marble Creek Neighborhood Park
150,Margaret Hoffman Oak Park,5453,101,64,0,0,5,37,0,0,4,0.2208668,459,290,0,0,23,168,0,1,21,0,0,0,1,9,44,Margaret Hoffman Oak Park
151,Mary Dawson Pocket Park,4424,139,60,0,5,9,78,2,15,4,0.92,151,65,0,6,9,85,2,16,4,3,3,21,22,13,14,Mary Dawson Pocket Park
152,Mary Frances Baylor Clarksville Pocket Park,2956,196,104,3,12,7,92,0,11,7,1.48911304,132,69,2,8,5,62,0,7,5,3,2,23,16,15,10,Mary Frances Baylor Clarksville Pocket Park
153,Mary Moore Searight Metro Park,15166,1332,649,53,139,49,683,24,107,62,342.65952,3,1,0,0,0,1,0,0,0,78,0,247,0,112,0,Mary Moore Searight Metro Park
154,Mayfield Park,4922,200,99,6,28,14,101,4,22,19,23.331,8,4,0,1,0,4,0,0,0,11,0,51,2,34,1,Mayfield Park
155,Meadowview Triangle,2319,212,122,8,15,2,90,8,22,1,0.41758451,508,292,19,38,5,216,20,54,2,16,40,38,92,3,8,Meadowview Triangle
156,Metz Neighborhood Park,1534,152,64,3,15,5,88,0,10,16,6.54525012,23,9,0,2,0,13,0,1,2,3,0,25,3,21,3,Metz Neighborhood Park
157,Michael Butler Park at Town Lake Metro Park,4269,133,66,0,3,5,66,1,8,4,20.299373,6,3,0,0,0,3,0,0,0,2,0,11,0,10,0,Michael Butler Park at Town Lake Metro Park
158,Michael Butler Shores at Town Lake Metro Park,7950,429,208,0,8,12,221,10,22,26,28.65,14,7,0,0,0,7,0,0,0,11,0,30,1,39,1,Michael Butler Shores at Town Lake Metro Park
159,Millennium Center,2391,157,70,10,29,5,87,4,22,3,5.5415,28,12,1,5,1,15,0,4,0,14,2,52,9,9,1,Millennium Center
160,Montopolis Neighborhood Park,3999,452,267,29,76,10,185,3,47,22,7.61,59,35,3,10,1,24,0,6,2,33,4,123,16,32,4,Montopolis Neighborhood Park
161,Montopolis Practice Fields,7417,362,187,28,68,11,174,27,59,9,4.11,88,45,6,16,2,42,6,14,2,55,13,127,31,20,4,Montopolis Practice Fields
162,Morris Williams Golf Course,13385,700,348,21,71,26,351,21,84,30,187.793,3,1,0,0,0,1,0,0,0,42,0,156,0,57,0,Morris Williams Golf Course
163,Mountain View Neighborhood Park,1810,164,86,1,28,5,78,1,16,6,8.273,19,10,0,3,0,9,0,2,0,3,0,45,5,12,1,Mountain View Neighborhood Park
164,Murchison Pool,4675,152,72,0,7,5,79,2,13,9,1.15,132,62,0,6,5,69,2,11,8,3,3,21,18,15,13,Murchison Pool
165,Musket Valley Neighborhood Park,16293,202,99,11,29,5,102,7,23,7,15.91,12,6,0,1,0,6,0,1,0,18,1,52,3,13,0,Musket Valley Neighborhood Park
166,Nicholas Dawson Neighborhood Park,2764,158,84,0,2,6,73,1,8,3,3.1977,49,26,0,0,2,23,0,2,0,1,0,11,3,9,2,Nicholas Dawson Neighborhood Park
167,Norman School Park,3013,147,69,1,11,6,78,6,18,9,6.9,21,10,0,1,1,11,0,2,1,7,1,30,4,16,2,Norman School Park
168,North Acres Greenbelt,7236,285,154,20,40,2,131,9,42,8,2.456,116,62,8,16,1,53,3,17,3,29,12,83,33,10,4,North Acres Greenbelt
169,North Cat Mountain Greenbelt,5294,512,243,24,39,29,268,4,69,28,30.71661354,16,7,0,1,0,8,0,2,0,28,0,108,3,58,1,North Cat Mountain Greenbelt
170,North Oaks Neighbohood Park,2872,189,85,4,10,12,103,7,24,18,4.616,41,18,1,2,2,22,1,5,3,11,2,34,7,30,6,North Oaks Neighbohood Park
171,North Star Greenbelt,5401,1025,491,54,97,31,534,62,127,35,17.61856003,58,27,3,5,1,30,3,7,2,116,6,224,12,67,3,North Star Greenbelt
172,Northern Walnut Creek Greenbelt,44123,5414,2789,189,488,194,2625,197,545,203,387.40866616,13,7,0,1,0,6,0,1,0,386,0,1033,2,398,1,Northern Walnut Creek Greenbelt
173,Northwest Balcones Neighborhood Park,5513,163,86,9,23,14,76,5,18,12,7.17204959,22,12,1,3,2,10,0,2,1,14,2,42,5,27,3,Northwest Balcones Neighborhood Park
174,Northwest Recreation Center,4841,88,42,5,13,5,45,3,9,6,6.66585983,13,6,0,2,0,6,0,1,1,8,1,23,3,12,1,Northwest Recreation Center
175,Norwood Tract at Town Lake Metro Park,7947,373,209,10,25,12,163,7,21,13,9.52917438,39,22,1,2,1,17,0,2,1,17,1,46,4,26,2,Norwood Tract at Town Lake Metro Park
176,Oak Springs School Park,4268,239,120,17,33,22,119,3,21,23,6.13,39,19,2,5,3,19,0,3,3,20,3,54,8,45,7,Oak Springs School Park
177,Oak View Neighborhood Park,5099,276,139,7,34,18,136,11,38,14,6.975217,39,20,1,5,2,19,1,5,2,18,2,73,10,32,4,Oak View Neighborhood Park
