,GEOID10,Total_POP_,Less tha_1,"$10,000 _1","$15,000 _1","$20,000 _1","$25,000 _1","$30,000 _1","$35,000 _1","$40,000 _1","$45,000 _1","$50,000 _1","$60,000 _1","$75,000 _1","$100,000_1","$125,000_1","$150,000_1","$200,000_1",fullarea_income,new_area,area_acre,weight,TotPopNS,"Lessthan25,000","25,000to49,999","50,000to74,999","75,000to99,999","100,000to149,999","150,000ormore",Norm_TotPopNS,"Norm_Lessthan25,000","Norm_25,000to49,999","Norm_50,000to74,999","Norm_75,000to99,999","Norm_100,000to149,999","Norm_150,000ormore"
2,484530001011,396.00000029763424,13.000000009770822,0.0,0.0,27.000000020293246,10.000000007516016,0.0,0.0,24.000000018038442,5.000000003758008,19.00000001428043,42.00000003156727,56.000000042089695,48.000000036076884,9.000000006764415,71.00000005336372,72.00000005411532,10234445.73269859,0.00029917168744384055,6.868036901832887e-09,2.9231840712975845e-11,1.1575808931038832e-08,1.1692736293978618e-09,1.1400417886629153e-09,1.7831422848317391e-09,1.6369830811570066e-09,1.6662149218919531e-09,4.1801532250973555e-09,1.6854610853866514,0.17024859448350013,0.16599237962141264,0.2596291065873377,0.2383480322769002,0.2426042471389877,0.6086387252785129
3,484530001012,476.0000001367022,4.000000001148758,0.0,0.0,0.0,8.000000002297517,0.0,0.0,9.000000002584706,6.000000001723137,23.00000000660536,63.00000001809295,15.000000004307845,31.000000008902877,19.000000005456602,92.00000002642145,206.00000005916107,11906443.083402472,0.0001670514841556059,3.834974383737509e-09,1.4030343317936395e-11,6.678443421255703e-09,5.6121373287863054e-11,3.226978964052125e-10,1.2066095256890558e-09,2.1045514982948648e-10,7.015171660982882e-10,4.181042309945798e-09,1.7414571136579515,0.014634093392083627,0.08414603700448084,0.31463300792979804,0.054877850220313606,0.18292616740104534,1.0902399577102302
4,484530001013,1153.9999997370473,81.99999998131533,15.999999996354209,20.9999999952149,42.999999990201935,59.999999986328284,63.999999985416835,28.999999993392002,17.999999995898484,14.999999996582071,123.99999997174511,115.99999997356801,93.99999997858097,99.9999999772138,153.99999996490925,100.99999997698595,116.99999997334015,11510984.412381751,0.0001654357973102094,3.79788331749792e-09,1.4371993861120944e-11,1.6585280911954415e-08,2.3282630049710706e-09,2.673190857559377e-09,3.4492785258830673e-09,1.3509674226375347e-09,3.650486439892913e-09,3.133094661010453e-09,4.36698011114279,0.6130422686352964,0.703863345470155,0.9082107683485872,0.35571588426986334,0.9611897298355881,0.8249581145833
5,484530001021,681.9999353764977,19.99999810488263,0.0,8.999999147197183,7.999999241953051,14.999998578661971,16.999998389150235,18.999998199638497,0.0,0.0,7.999999241953051,75.99999279855399,34.9999966835446,72.99999308282159,49.99999526220657,127.99998787124882,223.99997877468545,32897132.583797395,0.00010886423393989542,2.4991789242400234e-09,3.309231698616602e-12,2.2568958046023802e-09,1.224415612467567e-10,1.6877080063742137e-10,2.7797543634398816e-10,1.1582309847666174e-10,4.0703546036083977e-10,1.1648494475367124e-09,0.9030549124403652,0.0489927151910462,0.067530499317388,0.11122670475805083,0.04634446031585451,0.1628676748242887,0.46609285803373685
7,484530002031,766.9999937363051,121.99999900368869,25.99999978767136,33.99999972233947,33.99999972233947,27.999999771338388,20.99999982850379,20.99999982850379,52.99999956717623,0.0,58.99999951817732,62.999999485511374,101.99999916701842,56.99999953451029,80.99999933851463,35.9999997060065,29.999999755005415,13016606.853700023,0.0002022607430066394,4.64326774579062e-09,1.553866881591695e-11,1.1918158884478822e-08,3.356352436828456e-09,1.911256248749537e-09,1.8957175800605167e-09,1.5849442062801041e-09,2.1443362790848467e-09,1.0255521334753615e-09,2.5667610693532144,0.7228427522559249,0.4116187894790682,0.4082722952556612,0.34134241078752003,0.4618162028301742,0.22086861874486594
9,484530002042,634.99999952955,31.999999976292283,0.0,27.999999979255747,30.99999997703315,7.999999994073071,18.999999985923544,24.999999981478346,11.999999991109606,8.999999993332205,104.99999992220906,81.99999993924898,30.99999997703315,53.999999959993225,16.999999987405275,66.99999995036197,114.9999999148004,5936941.518594659,0.0002898299467049949,6.653580043732666e-09,4.8818056535884644e-11,3.0999465877320296e-08,4.442443141474247e-09,3.5637181244793415e-09,9.128976565447079e-09,1.5133597514912269e-09,3.466082011479907e-09,8.884886282948494e-09,4.659065596801562,0.6676771170219561,0.535609115852778,1.3720397899242396,0.227450446458029,0.520934893500647,1.3353542340439122
10,484530002043,324.00000004821305,29.000000004315364,0.0,0.0,9.00000000133925,0.0,0.0,10.000000001488056,10.000000001488056,25.000000003720142,66.00000000982118,9.00000000133925,8.000000001190445,50.000000007440285,7.00000000104164,21.000000003124917,80.00000001190445,8170844.672217952,0.00022976277315156328,5.274627482818257e-09,2.811983122537989e-11,9.110825318378827e-09,1.0685535867234425e-09,1.2653924053303927e-09,2.1089873422173212e-09,2.2495864983651424e-10,1.602830380085164e-09,2.840102954185992e-09,1.727292656790783,0.20258370666064734,0.23990175788760873,0.3998362631460146,0.04264920140224155,0.30387555999097104,0.5384461677032996
14,484530002061,640.9999997748091,19.999999992973763,16.999999994027696,0.0,10.99999999613557,0.0,0.0,8.999999996838193,0.0,40.99999998559621,56.99999997997522,95.99999996627406,76.99999997294898,63.99999997751604,64.99999997716473,95.99999996627406,87.99999996908456,6393168.661752354,0.00016323243075083878,3.747300981424215e-09,2.5532320416852118e-11,1.636621738145256e-08,1.225551379578351e-09,1.2766160203941155e-09,3.906445022405993e-09,1.965988671406938e-09,3.2936693326168185e-09,4.697946955050345e-09,4.367468069040013,0.32704909097335516,0.34067613643057826,1.0424689774775695,0.5246412501030906,0.878944431990892,1.253688182064528
15,484530002062,342.99999995566054,0.0,0.0,9.999999998707306,0.0,0.0,0.0,7.999999998965844,0.0,0.0,11.999999998448766,37.99999999508776,40.99999999469995,10.999999998578035,37.99999999508776,83.99999998914136,100.99999998694378,5914709.205244953,0.00022108121746276755,5.07532638803415e-09,3.7378205722560394e-11,1.2820724561180886e-08,3.7378205717728535e-10,2.990256457418283e-10,1.868910285886427e-09,1.5325064344268698e-09,1.8315320801686983e-09,6.9149680577797775e-09,2.5260886849381126,0.07364690043551349,0.058917520348410794,0.3682345021775675,0.3019522917856053,0.36086981213401614,1.3624676580569994
21,484530003025,669.9999999367514,28.99999999726237,0.0,0.0,38.99999999631836,12.999999998772786,72.99999999310873,62.999999994052736,0.0,9.999999999055989,88.9999999915983,21.999999997923176,100.9999999904655,77.99999999263672,38.99999999631836,50.99999999518555,62.999999994052736,7637960.577282555,0.0005765163331412147,1.323499387376526e-08,7.548040177844548e-11,5.057186918678444e-08,5.132667320449764e-09,1.2001383881639889e-08,8.378324596616525e-09,7.623520578903326e-09,8.831207007244446e-09,8.604765801930485e-09,3.8210723532731876,0.38781032839190555,0.9067917972693086,0.6330433301691399,0.5760123995232715,0.667261888556661,0.6501526093629004
