,Total_POP_,Less tha_1,"$10,000 _1","$15,000 _1","$20,000 _1","$25,000 _1","$30,000 _1","$35,000 _1","$40,000 _1","$45,000 _1","$50,000 _1","$60,000 _1","$75,000 _1","$100,000_1","$125,000_1","$150,000_1","$200,000_1",fullarea_income,new_area,area_acre,weight,TotPopNS,"Lessthan25,000","25,000to49,999","50,000to74,999","75,000to99,999","100,000to149,999","150,000ormore",Norm_TotPopNS,"Norm_Lessthan25,000","Norm_25,000to49,999","Norm_50,000to74,999","Norm_75,000to99,999","Norm_100,000to149,999","Norm_150,000ormore"
count,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0
mean,644.6580921537417,41.61976761726803,22.516071555358835,21.937548959435425,28.736641956992887,27.56779398890527,28.433374833391696,28.224184967244852,29.31159147237458,25.514903498400585,49.71179121223671,67.60682165837682,78.32510282276425,60.371882491544035,36.79947878088269,42.32968664380122,55.65144969476378,14046008.792712543,8606137.666417837,197.56973522538652,0.5439886108187942,349.91573845780357,59.2876747398161,75.43042146258163,64.82749988943023,42.72017774337595,53.6490384779616,54.000926144638015,6.550095914676877,1.1527086244205822,1.1368343074490759,1.0845332896305047,0.7822211066237682,1.0023182646621114,1.3914803219175214
std,415.54264374978214,56.24443683404837,29.02160210936931,28.959808939907596,37.260422452657366,34.993435200512145,33.849836668590925,33.0194090806399,37.28725008101178,29.69724295388283,51.418476504349876,60.48567789672206,64.6156082230621,60.44996735682865,41.28625591018272,52.24157999879733,88.83780107430148,21688057.863773398,17205036.177797973,394.9732823185944,0.3596863376383294,361.56230163918815,86.03112079742873,99.13070774269902,78.86563217099084,48.87507920548598,67.91371077896542,93.19064745710016,44.80410292880846,5.482640174207879,4.369878144081546,6.957580887543463,6.521454817859934,8.474549119559114,15.963941096141333
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029357869238395215,9.7705389333555e-06,2.243007101321281e-10,7.678265173510916e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,380.49999992438126,3.3516024599974017,0.0,0.0,2.398749649372779,0.046741789968475,0.16158769948526325,2.132390274340991,3.1571206913100913,0.6411177462630366,14.99999814097221,22.000000003534005,30.99999997420767,19.56044947477096,7.044122980574012,7.087286882259791,3.2244009073996875,4962298.577810713,1091128.0523034802,25.048853358665756,0.20172764775175842,84.9960620066149,7.41380986641054,10.867704435408555,10.534615061729728,6.8800629536084195,7.351308767839089,3.131392186271386,1.8472510452467041,0.1279111222241745,0.2522522448941089,0.22809953912981282,0.14606327236152813,0.17976639644552517,0.10715328046659398
50%,591.0000002196366,20.00000000521288,11.999999986083367,11.206873114466724,16.99999998574078,15.98059818593925,17.893478778922166,18.000000001130473,17.951915704341577,16.000000019524798,35.19331625550606,52.40190670924123,66.00000000494387,45.999997903265864,25.000000004302407,26.99999999460485,24.711983384642487,7939940.741025101,3558512.064354082,81.69219615137929,0.5405036501212602,251.33169249206918,29.12051777819824,40.87587604297465,37.657112739188605,25.418489882039815,30.829751323228344,21.24397802205042,3.0671132915538166,0.39041787882540596,0.5155009495572039,0.4730112517779018,0.31582728697246976,0.3976457549361871,0.30316755227564685
75%,815.7499824780011,55.99999716470419,34.99999998866494,31.000000012186604,38.89989634439163,38.99999998071822,42.26404092655738,41.45506066572625,43.000000027349394,39.000000015337335,73.00000010676278,96.06061997507668,108.63713201065939,82.25000003406925,50.021421123164906,58.95780953508412,69.25000002976216,13223833.419402989,8288012.583484776,190.26658823426945,0.9254393070378837,519.9507106686937,71.54642431078017,105.27710400213206,85.8694618382957,60.408369023135855,76.46217696657898,64.52580791620501,4.665412024597495,0.965087562113182,1.0680088928439067,0.8742274752399903,0.5899131738542518,0.6918118235720578,0.6552063982302646
max,3535.6676479335147,353.99999927948954,181.99999984132967,180.99999995233392,280.99999975502,330.99053197646,229.00000018250486,203.76006737279184,471.61367706472475,188.2056507968594,385.9999996634794,391.00000006411085,413.5893008795667,436.21873578400505,264.84429708872574,445.1242747561391,832.9999999304043,275485663.75916743,186417295.775542,4279.552244617585,1.0000000000000004,3408.6759095464517,849.7017457450686,1107.6352184429893,589.2162558164333,249.3826755799247,557.0455220146257,929.6324388720042,811.2225785845479,118.48501819828073,87.9551362085397,147.5610962837484,147.56109628374838,152.31058405833707,331.5655466233087
