,Total_PO_1,Male_new,Male_Und_2,Male_Und_3,Male_Ove_1,Female,Female_U_2,Female_U_3,Female_O_1,fullarea_age,new_area,area_acre,weight,TotPopNS,Males_ns,Males_ns_under5,Males_ns_under18,Males_ns_over65,Females_ns,Females_ns_under5,Females_ns_under18,Females_ns_over65,Under5_ns,Under18_ns,Over65_ns,W_C_under5,W_C_under18,Norm_TotPopNS,Norm_M_ns,Norm_M_ns_un5,Norm_M_ns_un18,Norm_M_ns_ov65,Norm_F_ns,Norm_F_ns_un5,Norm_F_ns_un18,Norm_F_ns_ov65,Norm_Under5,Norm_Under18,Norm_Over65_ns,Norm_W_C_under5,Norm_W_C_under18
count,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
mean,1693.1557591154565,857.8649845074264,59.37958870625958,187.95088863214957,64.5948497183024,835.2907746080303,53.33337381871499,176.2261926300244,83.39208735869082,15505364.112195142,6170144.59951882,141.64702937371027,0.2912116815868293,479.1897756422758,241.00222793098885,16.830400952481025,58.007313990067736,18.519716360286097,238.1875477112869,15.713507187863218,53.71187296147578,23.43538571154448,32.54390814034424,111.7191869515435,41.955102071830574,255.01794866376795,296.1948617013547,18.046362227226236,9.184517545400672,0.5577376259129124,2.3142381750139456,0.6362678864893467,8.861844681825566,0.5156936406783508,2.1935520800891397,0.7486737018435029,1.073431266591263,4.507790255103085,1.38494158833285,9.419582307738477,11.17608285683951
std,1156.9626297040952,578.5007981447545,64.67759394552839,181.96406395250696,53.723396063470105,599.7804015025591,57.52683122976369,170.13556525504566,75.75207546527025,22968886.22854557,16966455.340164453,389.4962199303134,0.36152738982946064,809.6776894124437,404.17138135380515,35.197441990910974,117.51678597190941,33.4309455439839,410.35967094482595,35.15599675537119,110.02970526365361,43.925515856155286,65.14361802606108,223.36115144200284,75.3192873592493,439.39605864953745,519.4490894695148,145.4524174150287,73.32039866530758,4.030461239221055,21.939877793197596,5.201991796041123,72.25436308243242,4.152012220415938,20.886259272369692,6.007094648911426,7.991884008640096,42.66189673519958,11.093720219214537,76.26626649031266,93.7373868368908
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.95671067425,2.2903604524060484e-06,5.2579441056153545e-11,3.0461747448320253e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,978.1984821661258,495.6644604571599,12.999999926647625,67.9999988738052,25.233788604198573,470.35760818550483,14.000000001707662,65.75000001454684,28.999999991640127,5782421.266140171,0.0006709379515066242,1.5402615966635083e-08,7.113095521996501e-11,1.0522314779939904e-07,5.0280323459185585e-08,1.39037331515553e-09,9.927942441132492e-09,2.2565718511096148e-09,4.749804170712393e-08,1.0846635855975877e-09,8.470619269875045e-09,3.019995080559147e-09,5.0390276492637234e-09,1.869693462106856e-08,6.454233057242023e-09,5.056774863066305e-08,6.128240676739313e-08,4.227370484990456,2.101910969743535,0.04672255922250733,0.28552819751730557,0.1128544957963504,2.0090297414226583,0.05416614011209332,0.28449495127063373,0.1297475097739736,0.15261639015975087,0.6392118717025121,0.29481036195040256,2.2190838264957797,2.4546051021568744
50%,1422.500000464507,729.5000000714102,42.0097981787148,136.00000002908405,51.999999998350134,709.4999604822945,36.74807188623795,129.99999996678048,67.73966071467152,8794435.536516681,517974.2356831819,11.891052242497288,0.07358642265609962,97.74453741186431,48.424156856166235,0.980899654229537,8.249814014349855,1.9318903452801786,45.47801676287884,0.8725009354925246,7.918701717705307,2.9787159607484393,3.4329752986598097,16.185378568037073,6.080383979334362,49.58783913994448,56.25379079512797,7.032543507151731,3.3814019422876056,0.17600082627851818,0.6099994361716935,0.24613319891960989,3.388673398932948,0.14626080162201666,0.5677624213940387,0.2942346580281686,0.3642856640426857,1.2116857362978695,0.569614535232118,3.636868394640539,4.135011287810072
75%,2103.8720321126743,1057.9999242399608,81.25000013324764,242.99999998421615,89.55168045278164,1060.956393882019,73.956368045208,228.0000001371767,114.00000004139591,14713990.53378741,4833294.9793788325,110.95718501787952,0.5429211794108184,684.6959237527957,351.6043887915776,15.913217574065055,65.29274099191274,22.50642512130331,337.46624034911014,15.119954872417384,61.06158834221768,30.70993931865723,34.975990861823504,134.28395643144188,53.42538940082639,354.7157359676528,421.62205349003744,10.411342261518822,5.392265456601651,0.3916607985603602,1.1368591605701257,0.415293503011911,4.958886714978786,0.36051324173390153,1.0555644305663994,0.5204128307900863,0.7121583762689415,2.154148344311412,0.9396944671930599,5.2799360924957295,6.049387776404301
max,9001.794525718175,4341.141717078542,400.0601791807587,1395.7759095693548,318.74243474186994,5226.99999864519,394.12745426098707,1286.1210777922684,504.5980818216775,275485663.75916743,186417295.775542,4279.552244617585,1.0000000000000002,8249.568651135422,3978.3785907388465,288.64399450025087,1051.1405752084347,288.8928213458401,4271.190060396575,361.19259131432455,981.8827725049599,435.311196669585,591.7597066436142,2033.0233477133947,724.2040180154252,4501.757175725865,5322.33063560501,2406.772363524586,1171.0390448922103,65.42117569230224,379.6537777080663,81.0202492595331,1235.7333186323758,83.45272787471539,340.1901135999717,115.57741038973397,142.76778333723732,687.2687656588109,196.26352707690674,1301.1544943246781,1532.309315104146
