,GEOID10,Total_POP_,Not Hisp_1,White; N_1,Hispanic_1,fullarea_race,new_area,area_acre,weight,TotPopNS,NotHisNS,WhiteNS,HispanNS,Norm_byArea,Norm_nonhis,Norm_white,Norm_hislat
0,482090109011,322.4322583232966,260.8703622896876,238.64373949370523,61.561896033609,22804966.19497933,22804966.19497933,523.5299861106365,1.0,322.4322583232966,260.8703622896876,238.64373949370523,61.561896033609,0.6158811660792962,0.4982911565920474,0.4558358562546084,0.11759000948724885
1,482090109081,3.756278674318175,1.261050630726319,1.074928714431274,2.495228043591856,1837.6839569394049,1837.6839569394049,0.04218741866252077,1.0,3.756278674318175,1.261050630726319,1.074928714431274,2.495228043591856,89.03788838958394,29.89162813714967,25.47984087460271,59.14626025243427
2,484530001011,1045.0000007854237,932.0000007004927,886.0000006659191,113.00000008493099,10234445.73269859,0.00029926540318123314,6.8701883191284e-09,2.924099760723668e-11,3.0556842522528904e-08,2.725260979042769e-08,2.5907523899483838e-08,3.304232732101212e-09,4.447744530881441,3.966792251465553,3.7710063678095285,0.4809522794158879
3,484530001012,1202.000000345202,1081.000000310452,1025.0000002943693,121.00000003474995,11906443.083402472,0.00016705391218763133,3.835030123682996e-09,1.4030547243828321e-11,1.6864717791925015e-08,1.5167021574934227e-08,1.4381310929054193e-08,1.6976962169907876e-09,4.397545064321131,3.9548637392106007,3.7499864317214295,0.44268132511052977
4,484530001013,2015.9999995406304,1852.9999995777719,1743.9999996026088,162.9999999628585,11510984.412381751,8074.219178747706,0.1853585670052274,0.000701436027492375,1.4140950311024094,1.2997609586472048,1.2233044316679573,0.11433407245520474,7.628970454128131,7.01214397395805,6.599664916666399,0.6168264801700821
5,484530001021,1577.9998504752393,1481.9998595718027,1309.999875869812,95.99999090343661,32897132.583797395,3405483.567296934,78.17914525475055,0.10351916108865408,163.35322071921834,153.41538219637619,135.61008817628394,9.937838522842181,2.0894730965262402,1.9623568625170396,1.7346069432505544,0.12711623400920094
6,484530001022,1062.000000261207,1031.0000002535824,985.0000002422684,31.00000000762469,27778574.22884509,6537265.752472631,150.07497136071237,0.23533481951296034,249.925578384235,242.63019897753887,231.80479727728013,7.295379406696125,1.6653381714365076,1.6167266052269675,1.5445933134321659,0.04861156620954024
7,484530002031,1593.999986982621,1294.9999894244004,994.9999918743463,298.9999975582206,13016606.853700023,124373.97239474267,2.855233526050107,0.009555022579435812,15.230705867239335,12.373754139319283,9.507247388897827,2.8569517279200505,5.334311792110852,4.333710019312141,3.3297617522900236,1.0006017727987104
9,484530002042,1254.9999990702129,1101.9999991835655,1000.999999258393,152.9999998866475,5936941.518594659,0.0002897998185875418,6.652888397326488e-09,4.8812981849304236e-11,6.126029217549114e-08,5.379190595808066e-08,4.886179479495349e-08,7.468386217410474e-09,9.208074525962143,8.085496516024127,7.3444482872415175,1.1225780099380143
10,484530002043,692.0000001029734,566.000000084224,477.00000007098026,126.0000000187495,8170844.672217952,0.00022965239788690864,5.272093615401943e-09,2.810632279766128e-11,1.944957537887581e-08,1.590817870584351e-08,1.3406715976479425e-08,3.5413966730323007e-09,3.6891559212938936,3.0174309992085893,2.5429586336086523,0.6717249220853043
11,484530002051,1528.999999858306,1354.9999998744308,1071.9999999006568,173.99999998387526,6175115.741419258,1494222.919411165,34.30263818666586,0.2419748846792854,369.979598640341,327.8759687100471,259.3970763521554,42.10362993029388,10.785747633374733,9.558330963520445,7.562015345309166,1.227416669854286
12,484530002052,1828.0000008364773,1373.0000006282733,1032.0000004722344,455.00000020820414,7015456.886213222,3793363.55903822,87.08364460601975,0.5407151124387835,988.427225990392,742.4018497181665,558.0179962921688,246.0253762722256,11.350319918995053,8.525158232374295,6.407839254049724,2.8251616866207603
13,484530002053,580.0000005999933,523.0000005410284,477.00000049344277,57.00000005896486,3042470.1761504035,644372.578108252,14.792758909739486,0.21179257011602592,122.83969079436916,110.76751428526735,101.02505604985188,12.072176509101796,8.304041967012122,7.487955084047136,6.829358652180658,0.8160868829649842
14,484530002061,1251.9999995601574,1165.9999995903704,1046.9999996321765,85.99999996978718,6393168.661752354,0.00016323163706039208,3.747282760798716e-09,2.5532196270206114e-11,3.196630971906791e-08,2.9770540840601586e-08,2.673220948551446e-08,2.1957688784663262e-09,8.53053045622168,7.944567501561087,7.1337582968563105,0.5859629546605948
15,484530002062,883.9999998857257,826.9999998930941,683.9999999115797,56.999999992631636,5914709.205244953,0.0002210836690910013,5.075382669674043e-09,3.737862021939341e-11,3.304270026967236e-08,3.091211891744235e-08,2.5566976226760063e-08,2.130581352230005e-09,6.510385998499393,6.090598666016966,5.037447989789124,0.4197873324824269
19,484530003023,871.999998480114,810.9999985864362,704.999998771193,60.999999893677696,3640340.138651186,4349.735811900151,0.09985619402892909,0.0011948707115901013,1.041927258690501,0.9690401454105462,0.8423838502027559,0.07288711327995477,10.434277701277567,9.704356898779938,8.435969930505372,0.729920802497628
20,484530003024,907.9999992893012,737.9999994223615,546.9999995718587,169.99999986693965,5259707.727875492,2616255.7340115104,60.06096726380878,0.49741466054203587,451.65251141865656,367.0920191926966,272.08581910352984,84.56049222595993,7.519900727453169,6.111989798304448,4.530160460260884,1.407910929148721
21,484530003025,1221.999999884642,1123.9999998938931,1028.9999999028614,97.99999999074869,7637960.577282555,83868.31628087732,1.9253516134269357,0.01098045943446282,13.41812142764688,12.342036403171107,11.298892756995615,1.0760850244757727,6.969179724925127,6.410276604595615,5.868482763459866,0.558903120329511
