,Total_POP_,Less tha_1,"$10,000 _1","$15,000 _1","$20,000 _1","$25,000 _1","$30,000 _1","$35,000 _1","$40,000 _1","$45,000 _1","$50,000 _1","$60,000 _1","$75,000 _1","$100,000_1","$125,000_1","$150,000_1","$200,000_1",fullarea_income,new_area,area_acre,weight,TotPopNS,"Lessthan25,000","25,000to49,999","50,000to74,999","75,000to99,999","100,000to149,999","150,000ormore",Norm_TotPopNS,"Norm_Lessthan25,000","Norm_25,000to49,999","Norm_50,000to74,999","Norm_75,000to99,999","Norm_100,000to149,999","Norm_150,000ormore"
count,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0
mean,660.2752809654785,38.27438588209621,21.272692870303935,21.881139012730905,28.54734284861725,27.970600214246392,28.76444073617127,29.323212911114087,29.734640912173735,25.773883297920452,50.64015843090535,70.54062590566079,81.63754024756358,63.26796876932896,38.66783915644687,45.014635459880836,58.96417431031792,15488343.522266813,6191859.360265496,142.14553168653575,0.2941527119536889,183.38214549686265,26.483647821379254,38.489294605484446,34.26474836728463,22.821682824981444,29.625222074556017,31.697549803176837,6.593339103866725,1.0255861677234868,1.1080252691105723,1.1044702015192922,0.8048315462413276,1.0576048299045395,1.4928210893675067
std,431.8925823862438,52.00584732622271,28.466434460530916,28.71973519157111,37.38062675430934,36.07248884206236,34.321718228898554,33.74204597144822,38.15233257431329,29.864787869205074,52.4925340580674,62.260004450012495,66.63339641834243,62.788721819721204,42.771359466427484,54.53650466101974,93.78897518193006,22934391.04533587,16950445.610989593,389.12868712097315,0.3636465702596081,310.29342584775884,55.03199802862677,79.96810623861172,61.738341718258795,38.50017640524046,56.85216770818489,80.78538789073123,48.09640347253226,5.736250443315858,4.672603365083078,7.466875854280525,6.9988214103165465,9.099537219641231,17.13934414063318
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.95671067425,2.2903604524060484e-06,5.2579441056153545e-11,3.0461747448320253e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,381.7500000429843,1.7430176074283454,0.0,0.0,2.623857672183065,0.24587247273074347,0.036765745908331,3.2317857895018265,4.738185300982506,2.153717208039126,15.790259646796576,22.999999991073963,32.97510745498271,21.847799522658363,8.00000000659211,9.000000000175454,4.6569056592934555,5774398.878772999,0.000684334001396871,1.5710146955851032e-08,7.178968300454031e-11,3.683409692081757e-08,4.620926276812396e-09,7.394757502596986e-09,5.767216336194845e-09,3.7455737842162366e-09,4.475119161923406e-09,2.4840160910310174e-09,1.6865088672790283,0.11140290696676268,0.22960286395852603,0.19965904680246543,0.1409167340497058,0.17955613369069556,0.10505559340404774
50%,604.9999998955632,19.000000000082153,10.99999999574704,10.999999996939042,16.999999990870457,15.007722179865727,17.999999987137162,18.641045051323072,17.999999996524373,16.76422543787304,35.00000003666541,56.00000005589919,67.00000005424124,47.99999835659271,26.075229966952215,29.325997846122824,24.99999940603008,8794435.536516681,517974.2356831819,11.891052242497288,0.07483979582968511,35.569974354884465,3.0951241451005105,5.6790596669829805,4.334359650623568,2.9329399383109607,3.5496147986362834,1.3053150103680098,2.866545720462966,0.3280048872916104,0.48743306719933255,0.4345350585516983,0.3017217683529519,0.3893305525703874,0.2843013824937858
75%,830.7121665162941,51.75000000715993,31.000000018564396,31.000000026187767,37.99999999346833,38.74999715714047,42.000000021517224,43.37745230014879,42.99999999277851,39.75000002753748,75.20365279201155,99.97440931797615,113.99999997106521,85.44760555937907,52.55116652742574,62.2439626406253,73.49999883647965,14788399.041591968,4851709.449911665,111.37992309255431,0.5513364316872923,270.5757112464457,27.992807731921005,45.872360393890865,41.88916966185059,32.52080176567617,36.90193012106631,27.528133972772352,4.1632590841522035,0.8200594548266325,1.0056139067769316,0.8008838315456058,0.5343686083000281,0.6212854382121233,0.6098064114063207
max,3535.6676479335147,338.99999884333585,181.99999984132967,151.99999999743855,280.99999975502,330.99053197646,229.00000018250486,203.76006737279184,471.61367706472475,188.2056507968594,385.9999996634794,391.00000006411085,413.5893008795667,436.21873578400505,264.84429708872574,445.1242747561391,832.9999999304043,275485663.75916743,186417295.775542,4279.552244617585,1.0000000000000002,3240.2131492663675,407.5043357828718,1052.8939373021935,477.79117054928855,213.95816461449593,529.5153523151748,891.328022172831,811.2225785845479,118.48501819828073,87.9551362085397,147.5610962837484,147.56109628374838,152.31058405833707,331.5655466233087
