,Total_POP_,Not Hisp_1,White; N_1,Hispanic_1,fullarea_race,new_area,area_acre,weight,TotPopNS,NotHisNS,WhiteNS,HispanNS,Norm_byArea,Norm_nonhis,Norm_white,Norm_hislat
count,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0
mean,1686.8069562498274,1116.834840859757,829.2611099567998,569.9721153900706,15488343.522266813,6191859.360265496,142.14553168653575,0.2941527119536889,477.8781760275726,328.56768738468446,241.0309294720268,149.31048864288812,18.157484727436216,13.703655054265647,10.610072652456312,4.45382967317057
std,1158.7908383708223,873.2631053422517,661.2369984371874,617.2084944685728,22934391.04533587,16950445.610989593,389.12868712097315,0.3636465702596081,808.3138991379471,599.1371332757204,437.67536710665587,308.6878799797686,145.18792762786245,125.55076521324577,100.14267843006026,20.211388863711907
min,0.0,0.0,0.0,0.0,638.95671067425,2.2903604524060484e-06,5.2579441056153545e-11,3.0461747448320253e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,976.5000002541838,611.1897643327239,380.4999980444486,138.24999996229513,5774398.878772999,0.000684334001396871,1.5710146955851032e-08,7.178968300454031e-11,1.059064145653922e-07,6.199646091409262e-08,5.1945351036883887e-08,3.56748023612735e-08,4.2268183618066315,2.5778714728654535,1.6802465825662811,0.6025718217192685
50%,1418.5000010923732,971.9999776424565,712.9999997293744,330.7745231786191,8794435.536516681,517974.2356831819,11.891052242497288,0.07483979582968511,97.74453741186431,56.43976515823304,40.01463538482953,20.428543913350754,7.032543507151731,4.7183794457889165,3.4495581593088955,1.4418620586796567
75%,2102.0000016558815,1391.7756307356822,1085.499972347237,783.9999978332025,14788399.041591968,4851709.449911665,111.37992309255431,0.5513364316872923,682.0667450930473,446.59700246219006,326.64889196114535,165.16485379770808,10.42663255469132,6.813213095696268,5.515481949263784,3.700911476732671
max,9001.794525718175,7431.024428881911,5423.267781788784,3051.0000013787294,275485663.75916743,186417295.775542,4279.552244617585,1.0000000000000002,8249.568651135422,6810.058372159401,4038.869582973527,2354.1454432549654,2406.772363524586,2102.200445579312,1623.898961073369,308.5505566488917
