,Total_PO_1,Male_new,Male_Und_2,Male_Und_3,Male_Ove_1,Female,Female_U_2,Female_U_3,Female_O_1,fullarea_age,new_area,area_acre,weight,TotPopNS,Males_ns,Males_ns_under5,Males_ns_under18,Males_ns_over65,Females_ns,Females_ns_under5,Females_ns_under18,Females_ns_over65,Under5_ns,Under18_ns,Over65_ns,W_C_under5,W_C_under18,Norm_TotPopNS,Norm_M_ns,Norm_M_ns_un5,Norm_M_ns_un18,Norm_M_ns_ov65,Norm_F_ns,Norm_F_ns_un5,Norm_F_ns_un18,Norm_F_ns_ov65,Norm_Under5,Norm_Under18,Norm_Over65_ns,Norm_W_C_under5,Norm_W_C_under18
count,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0
mean,1852.975240995957,939.2900417176181,67.44280370232474,211.0086182762527,68.20400104124239,913.6851992783388,60.54194682061893,197.9625404825749,87.33693023429309,18774233.570390698,194133.54872408792,4.456693037743065,0.0154537615952026,14.653208173423877,7.211397440753023,0.4628672138369269,1.99291362946126,0.6145269864984609,7.441810732670855,0.5047406685026913,1.8046137677140035,0.6922399873831123,0.9676078823396181,3.797527397175264,1.3067669738815733,7.904677946507782,9.434724362132114,15.03535101552558,7.821366123394877,0.48478977420732633,2.164370275685757,0.5556224931499288,7.2139848921307035,0.547786839578915,1.8562717370921369,0.5609587529447202,1.0325766137862413,4.020642012777893,1.116581246094649,7.6987746663380285,9.37835516781646
std,1216.6876423068827,609.3528560696075,70.38032333284053,203.6497390773789,54.54320729546497,628.4979559979788,62.29096858248096,187.79083221276105,77.92449427995341,27202147.907802463,1655039.245576726,37.99447303895146,0.09937369384592629,112.30057304606045,56.62575571066336,3.4697503660080256,18.280561729652913,4.622146645182174,56.14952929030688,4.236458080802161,15.549225419468995,4.89122563433428,7.57522730821856,33.70483323693854,9.259397829350386,59.468597553601384,73.73600179259944,125.56320575424215,66.05606439462497,3.5506197970089226,22.69971306660666,4.839743378273377,59.515444588182696,4.991016951514262,18.388940965903515,3.810690069185405,8.5370636970357,41.08637757803052,8.647164042321734,63.05645992536375,82.20599902547443
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32938.45283869711,1.1860855574606644e-09,2.7228777719482653e-14,4.305434777533662e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1059.9566460907054,540.9999982243535,17.33818684121288,70.49999989178342,27.24196360876812,512.9934978235904,15.999999967426827,72.03004874870544,34.00000003127481,6684016.92947202,0.0001522920111190389,3.496143505946715e-09,1.3388885732037857e-11,2.1419250588182757e-08,1.0499328686350435e-08,2.8969265084976613e-10,1.3663241813275276e-09,5.7258470647139e-10,1.0006550555201854e-08,3.156961907242002e-10,1.3382031823370327e-09,5.889744350526597e-10,8.126799523621595e-10,3.278528608455402e-09,1.3907388838119217e-09,1.0861636100610985e-08,1.1917559578575403e-08,4.129069366075452,2.0798649095924304,0.05465717648927854,0.2528066221181702,0.10837221680852235,1.970108198634332,0.05637008935267989,0.2773659428340154,0.11272375278662895,0.15298792210296874,0.5778812673584757,0.2518066636685755,2.092822863839582,2.327243400192459
50%,1582.0000028692648,791.7150722326229,46.999999979573786,165.99999996145502,55.99999557392254,789.9999997605261,44.000000007810755,142.00000001922749,68.99999995294135,10103159.994746737,0.0002898299467049949,6.653580043732666e-09,3.1738838512792694e-11,4.236741804588461e-08,2.1957968765829365e-08,1.0812599615714673e-09,4.218049787247891e-09,1.4884009490699819e-09,1.99872777859294e-08,1.0034915433470222e-09,3.710714861872878e-09,1.6992528078480706e-09,2.5133228873757203e-09,7.953793546979066e-09,3.3726708144273103e-09,2.178042135535976e-08,2.4637839961535308e-08,6.137878441092923,3.0763326636458683,0.17015050019654804,0.5395148048004872,0.21979152937586074,3.1002633209628225,0.14799442273788377,0.5171929397406326,0.2585964698703163,0.34536997017302157,1.0978330599560726,0.48594838117212263,3.2597473629407863,3.730105140531318
75%,2402.743661928038,1162.4999494134158,94.50000000176382,281.9999999532117,91.87831568784281,1186.836475988193,81.9999999883967,266.34360280674406,114.99998995785751,19473220.521748863,0.0007443059027444374,1.7086912367870463e-08,5.764751771485893e-11,8.903946778290557e-08,4.5058898135833e-08,2.7246212716648847e-09,9.010219401904203e-09,3.151532698450296e-09,4.477848892631808e-08,2.6051743477022607e-09,8.623565652325797e-09,4.231734552322707e-09,5.398225527786774e-09,1.694837595413616e-08,7.372336551371322e-09,4.641798401937493e-08,5.418406081064021e-08,9.747411768746478,4.976670641270241,0.37196246502416563,1.0429634977976021,0.37639564105182655,4.7549473160107585,0.3530771015171786,0.9738320362314841,0.44750355186836277,0.6666854235231241,1.9616759957441432,0.8818965267167709,5.067068634789093,5.665367140257999
max,9001.794525718175,4341.141717078542,400.0601791807587,1395.7759095693548,318.74243474186994,4660.652808639633,394.12745426098707,1286.1210777922684,504.5980818216775,275485663.75916743,19935659.18891158,457.6597609942971,1.0,1590.0472543116366,836.3382559384307,44.851840150986725,287.08007465726206,61.264500900243696,753.708998373206,63.10385081179836,232.6070195842971,56.6463799738759,107.95569096278508,519.6870942415592,109.5120639648698,798.5608385241927,1040.789073030468,2102.7842059552727,1106.0293149494232,59.31505546252193,379.6537777080663,81.0202492595331,996.7548910058497,83.45272787471539,307.61498795074465,63.80578521362769,142.76778333723732,687.2687656588109,144.8260344731608,1056.0699464683717,1376.4086687139159
