,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
243,Springwoods Neighborhood Park,1561,15,50,40,32,26,3,12.45145586,13,1,4,3,2,2,0,Springwoods Neighborhood Park,168
244,St. Edwards Greenbelt,1217,0,0,0,0,0,0,79.8,0,0,0,0,0,0,0,St. Edwards Greenbelt,0
245,St. Elmo School Park,1451,20,26,16,11,15,5,5.51527426,17,3,4,2,2,2,0,St. Elmo School Park,96
246,St. John Pocket Park,881,23,10,6,4,7,2,0.97,57,24,11,6,5,7,2,St. John Pocket Park,55
247,Steck Valley Greenbelt,2312,23,37,24,38,47,66,38.35643094,6,0,0,0,1,1,1,Steck Valley Greenbelt,239
248,Stephenson Nature Preserve & Outdoor Education Center,2970,18,43,77,42,57,8,147.282,1,0,0,0,0,0,0,Stephenson Nature Preserve & Outdoor Education Center,248
249,Stillhouse Hollow Nature Preserve,1269,10,26,17,28,16,50,19.8278,7,0,1,0,1,0,2,Stillhouse Hollow Nature Preserve,149
250,Stratford Overlook Greenbelt,1158,12,5,7,3,23,48,0.07,1440,176,73,107,51,337,694,Stratford Overlook Greenbelt,100
251,Swede Hill Pocket Park,351,8,4,5,5,5,8,0.5694,67,14,8,8,10,10,14,Swede Hill Pocket Park,38
252,Symphony Square,3180,5,6,7,5,13,26,0.484,133,11,13,15,11,27,53,Symphony Square,64
253,T.A. Brown Neighborhood Park,904,9,28,50,9,19,15,2.29,57,4,12,22,4,8,6,T.A. Brown Neighborhood Park,132
254,Tahoe Trail Pocket Park,1628,10,26,22,4,11,3,0.308,258,35,85,71,14,38,11,Tahoe Trail Pocket Park,79
255,Tanglewood Neighborhood Park,1428,14,23,12,8,34,41,14.1402,9,0,1,0,0,2,2,Tanglewood Neighborhood Park,135
256,Tannehill Branch Greenbelt,3270,17,13,13,8,12,19,4.504,18,3,2,3,1,2,4,Tannehill Branch Greenbelt,84
257,Tarrytown Neighborhood Park,815,3,3,6,2,22,31,2.2502,31,1,1,3,1,9,13,Tarrytown Neighborhood Park,69
258,The Circle Greenbelt,1101,19,23,31,22,20,17,1.208,112,16,19,26,18,17,14,The Circle Greenbelt,136
259,Tom Lasseter-South Lamar Neighborhood Park,1577,13,11,15,14,25,19,2.084,47,6,5,7,7,12,9,Tom Lasseter-South Lamar Neighborhood Park,99
260,Trailhead Neighborhood Park,4600,3,10,10,9,13,45,13.63828257,6,0,0,0,0,1,3,Trailhead Neighborhood Park,92
261,Triangle Commons Neighborhood Park,1795,32,26,19,17,19,12,6.05,21,5,4,3,2,3,2,Triangle Commons Neighborhood Park,127
262,Umlauf Sculpture Garden,2965,8,13,24,13,21,28,7.8449,14,1,1,3,1,2,3,Umlauf Sculpture Garden,110
263,Upper Bull Creek Greenbelt,5571,25,54,29,57,85,282,181.7298694,2,0,0,0,0,0,1,Upper Bull Creek Greenbelt,535
264,Veterans Pocket Park,2877,11,9,5,2,2,2,0.67361979,49,16,14,7,3,3,3,Veterans Pocket Park,33
265,Vic Mathias Shores at Town Lake Metro Park,3324,3,10,10,4,7,8,5.76681669,7,0,1,1,0,1,1,Vic Mathias Shores at Town Lake Metro Park,45
266,Waller Beach at Town Lake Metro Park,7363,185,57,78,15,150,348,28.80830482,28,6,1,2,0,5,12,Waller Beach at Town Lake Metro Park,834
267,Waller Creek Greenbelt,5408,57,40,49,29,92,191,4.25945033,108,13,9,11,7,21,44,Waller Creek Greenbelt,460
268,Walnut Creek Metro Park,2727,41,66,63,30,31,25,290.52051343,0,0,0,0,0,0,0,Walnut Creek Metro Park,260
269,Walnut Creek Sports Park,1398,14,23,3,1,4,1,227.96811979,0,0,0,0,0,0,0,Walnut Creek Sports Park,48
270,Walsh Boat Landing,1245,6,5,4,14,5,29,3.92369047,16,1,1,1,3,1,7,Walsh Boat Landing,66
271,Walter E. Long Metro Park,4719,67,67,68,33,36,21,1885.44189589,0,0,0,0,0,0,0,Walter E. Long Metro Park,297
272,Waterloo Neighborhood Park,3180,13,14,12,8,16,24,10.0212,9,1,1,1,0,1,2,Waterloo Neighborhood Park,90
273,Wells Creek Greenbelt,4192,29,33,48,26,29,31,9.18,21,3,3,5,2,3,3,Wells Creek Greenbelt,197
274,West Austin Neighborhood Park,2484,20,25,37,13,20,30,3.31956766,44,6,7,11,3,6,9,West Austin Neighborhood Park,147
275,West Bouldin Creek Greenbelt,1699,74,31,26,37,64,54,16.86731362,17,4,1,1,2,3,3,West Bouldin Creek Greenbelt,289
276,Westcreek Pocket Park,1388,5,16,15,7,20,14,1.293,62,4,12,12,5,16,11,Westcreek Pocket Park,80
