,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
102,"Gustavo ""Gus"" L. Garcia District Park",3662,58,80,51,12,14,25,47.271,5,1,1,1,0,0,0,"Gustavo ""Gus"" L. Garcia District Park",243
103,Hall/Goodnight Planting Strip,1022,22,28,8,2,33,16,1.229913,90,18,23,6,2,26,13,Hall/Goodnight Planting Strip,111
104,Hancock Golf Course,2847,61,55,36,20,28,54,51.83,4,1,1,0,0,0,1,Hancock Golf Course,257
105,Harpers Branch Creek Greenbelt,630,5,7,5,1,19,24,1.6919,37,3,4,3,0,11,14,Harpers Branch Creek Greenbelt,63
106,Harris Branch Neighborhood Park,1758,1,2,4,4,6,3,10.01,2,0,0,0,0,0,0,Harris Branch Neighborhood Park,23
107,Harris Triangle,665,3,4,1,5,4,18,0.18,209,21,23,7,29,23,104,Harris Triangle,37
108,Hartford Planting Strip,1048,4,8,5,2,16,37,1.8588,40,2,4,3,1,9,20,Hartford Planting Strip,75
109,Hartford Triangle,1048,2,5,2,1,6,19,0.6,62,3,9,4,1,10,32,Hartford Triangle,37
110,Haskell House,1216,20,30,6,8,10,27,0.2405,430,86,125,25,35,42,115,Haskell House,103
111,Heath Eiland and Morgan Moss BMX Skate Park,5366,5,6,6,3,7,11,1.3186,31,4,5,5,2,5,8,Heath Eiland and Morgan Moss BMX Skate Park,41
112,Heritage Oaks Neighborhood Park,998,47,49,26,12,9,4,3.527,42,13,14,7,3,2,1,Heritage Oaks Neighborhood Park,151
113,Hielscher Tract Greenbelt,2534,2,11,22,22,57,107,66.58,3,0,0,0,0,0,1,Hielscher Tract Greenbelt,224
114,Highland Neighborhood Park,2231,6,14,11,9,4,3,0.241,204,27,58,47,39,18,12,Highland Neighborhood Park,49
115,Hill School Park,1067,10,22,26,6,13,16,5.51,17,1,4,4,1,2,2,Hill School Park,95
116,Holly Shores at Town Lake Metro Park,2655,25,46,35,4,28,16,17.619,8,1,2,2,0,1,0,Holly Shores at Town Lake Metro Park,157
117,Houston School Park,1245,40,39,13,17,13,5,8.74,14,4,4,1,2,1,0,Houston School Park,129
118,Hubert C. Schroeter Neighborhood Park,1269,5,40,28,16,21,33,12.08,12,0,3,2,1,1,2,Hubert C. Schroeter Neighborhood Park,145
119,International Shores at Town Lake Metro Park,1572,17,55,36,38,79,21,6.06263555,40,2,9,5,6,13,3,International Shores at Town Lake Metro Park,247
120,J.J. Seabrook Greenbelt,238,15,10,3,4,2,2,2.90116414,12,5,3,1,1,0,0,J.J. Seabrook Greenbelt,37
121,Janet Long Fish Park,2758,60,232,241,150,121,59,27.872,31,2,8,8,5,4,2,Janet Long Fish Park,865
122,Jimmy Clay Golf Course,1343,5,10,14,4,7,3,203.11864411,0,0,0,0,0,0,0,Jimmy Clay Golf Course,45
123,John Trevino Jr. Metro Park at Morrison Ranch,4206,20,31,30,20,12,4,330.22,0,0,0,0,0,0,0,John Trevino Jr. Metro Park at Morrison Ranch,119
124,Joslin Neighborhood Park,729,12,12,17,8,11,7,5.89,11,2,2,2,1,1,1,Joslin Neighborhood Park,70
125,Kealing School Park,1007,63,19,14,20,19,14,14.91436275,10,4,1,0,1,1,0,Kealing School Park,151
126,Kendra Page Neighborhood Park,2176,33,41,32,26,9,2,15.2491,9,2,2,2,1,0,0,Kendra Page Neighborhood Park,145
127,Kennemer Pool,2257,46,36,20,10,10,4,1.04,123,44,35,19,9,10,4,Kennemer Pool,128
128,Lakeline Neighborhood Park,2490,34,97,86,53,70,7,10.45,33,3,9,8,5,6,0,Lakeline Neighborhood Park,349
129,Lakeshore at Town Lake Metro Park,1950,30,26,14,2,20,9,3.28252585,31,9,8,4,0,6,2,Lakeshore at Town Lake Metro Park,104
130,Lamar Beach at Town Lake Metro Park,4945,70,63,96,82,106,126,65.40901382,8,1,0,1,1,1,1,Lamar Beach at Town Lake Metro Park,546
131,Lamar Senior Activity Center,1504,46,11,2,9,1,5,1.876,40,24,6,1,4,0,2,Lamar Senior Activity Center,75
132,Latta Branch Greenbelt,9417,53,118,137,164,268,264,126.41990405,7,0,0,1,1,2,2,Latta Branch Greenbelt,1006
133,Lawrence Street Pocket Park,1941,30,24,21,2,3,3,0.9854,86,30,24,22,2,3,3,Lawrence Street Pocket Park,85
134,Legend Oaks Neighborhood Park,1903,2,7,4,7,13,18,7.3,7,0,1,0,1,1,2,Legend Oaks Neighborhood Park,54
135,Little Stacy Neighborhood Park,2032,13,15,25,19,24,35,6.7793,19,1,2,3,2,3,5,Little Stacy Neighborhood Park,133
136,Little Walnut Creek Greenbelt,2980,91,102,47,51,26,16,205.806,1,0,0,0,0,0,0,Little Walnut Creek Greenbelt,335
137,Little Zilker Neighborhood Park,862,7,11,30,12,22,33,4.57,25,1,2,6,2,4,7,Little Zilker Neighborhood Park,117
138,Longhorn Shores at Town Lake Metro Park,1387,36,27,14,1,20,9,10.63606158,10,3,2,1,0,1,0,Longhorn Shores at Town Lake Metro Park,109
139,Longview Neighborhood Park,1089,7,13,26,17,18,1,20.056,4,0,0,1,0,0,0,Longview Neighborhood Park,85
140,Lott Pocket Park,876,25,7,6,8,8,6,1.12485569,55,22,7,5,7,7,5,Lott Pocket Park,62
141,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,265,0,0,1,1,0,0,290.6231989,0,0,0,0,0,0,0,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,3
142,Lower Bull Creek Greenbelt,7077,31,55,65,55,56,119,115.454,3,0,0,0,0,0,1,Lower Bull Creek Greenbelt,384
143,Lucy Read School Park,662,49,21,13,28,17,15,5.14,28,9,4,2,5,3,3,Lucy Read School Park,146
144,MLK Station Neighborhood Park,1241,32,21,23,21,37,11,7.917,18,4,2,2,2,4,1,MLK Station Neighborhood Park,148
145,Mabel Davis District Park,2685,51,113,41,42,19,9,53.97237583,5,0,2,0,0,0,0,Mabel Davis District Park,278
146,Maggie Boatright Area of the Bull Creek Greenbelt,1217,0,0,0,0,0,1,8.986,0,0,0,0,0,0,0,Maggie Boatright Area of the Bull Creek Greenbelt,1
147,Manuel and Robert Donley Pocket Park,168,0,4,6,0,2,1,0.3883,40,1,10,15,1,6,5,Manuel and Robert Donley Pocket Park,15
148,Marble Creek Greenbelt,4108,9,17,25,11,16,6,105.78,0,0,0,0,0,0,0,Marble Creek Greenbelt,86
149,Marble Creek Neighborhood Park,3309,0,3,4,4,4,1,8.511,2,0,0,0,0,0,0,Marble Creek Neighborhood Park,19
150,Margaret Hoffman Oak Park,3324,5,5,7,5,13,25,0.2208668,281,23,26,32,24,58,115,Margaret Hoffman Oak Park,62
151,Mary Dawson Pocket Park,2502,14,5,9,5,16,13,0.92,70,15,5,9,6,18,14,Mary Dawson Pocket Park,64
152,Mary Frances Baylor Clarksville Pocket Park,1667,30,41,5,4,6,23,1.48911304,75,20,28,3,3,4,15,Mary Frances Baylor Clarksville Pocket Park,111
153,Mary Moore Searight Metro Park,6133,69,104,92,101,117,44,342.65952,1,0,0,0,0,0,0,Mary Moore Searight Metro Park,529
154,Mayfield Park,2054,7,8,4,11,8,43,23.331,3,0,0,0,0,0,1,Mayfield Park,83
155,Meadowview Triangle,904,6,17,31,6,11,9,0.41758451,198,14,42,75,14,28,22,Meadowview Triangle,82
156,Metz Neighborhood Park,489,4,16,11,1,9,5,6.54525012,7,0,2,1,0,1,0,Metz Neighborhood Park,48
157,Michael Butler Park at Town Lake Metro Park,2358,9,10,14,7,14,14,20.299373,3,0,0,0,0,0,0,Michael Butler Park at Town Lake Metro Park,71
158,Michael Butler Shores at Town Lake Metro Park,4868,21,30,56,34,50,65,28.65,9,0,1,1,1,1,2,Michael Butler Shores at Town Lake Metro Park,259
159,Millennium Center,852,25,14,6,0,2,3,5.5415,9,4,2,1,0,0,0,Millennium Center,54
160,Montopolis Neighborhood Park,1282,72,5,20,20,12,7,7.61,18,9,0,2,2,1,0,Montopolis Neighborhood Park,138
161,Montopolis Practice Fields,1941,32,27,22,3,4,3,4.11,22,7,6,5,0,1,0,Montopolis Practice Fields,93
162,Morris Williams Golf Course,5250,50,57,48,35,30,33,187.793,1,0,0,0,0,0,0,Morris Williams Golf Course,254
163,Mountain View Neighborhood Park,610,1,2,1,6,6,35,8.273,6,0,0,0,0,0,4,Mountain View Neighborhood Park,55
164,Murchison Pool,2354,14,19,9,8,10,11,1.15,65,12,16,8,7,9,10,Murchison Pool,75
165,Musket Valley Neighborhood Park,5147,8,12,18,7,11,6,15.91,4,0,0,1,0,0,0,Musket Valley Neighborhood Park,66
166,Nicholas Dawson Neighborhood Park,1457,11,17,18,7,16,14,3.1977,26,3,5,5,2,5,4,Nicholas Dawson Neighborhood Park,85
167,Norman School Park,1040,21,10,7,8,3,0,6.9,7,3,1,1,1,0,0,Norman School Park,51
168,North Acres Greenbelt,2365,30,35,13,7,4,5,2.456,39,12,14,5,3,1,2,North Acres Greenbelt,96
169,North Cat Mountain Greenbelt,2281,16,10,22,4,59,99,30.71661354,6,0,0,0,0,1,3,North Cat Mountain Greenbelt,212
170,North Oaks Neighbohood Park,1247,12,16,12,17,10,13,4.616,17,2,3,2,3,2,2,North Oaks Neighbohood Park,82
171,North Star Greenbelt,2447,51,140,123,61,47,31,17.61856003,25,2,8,6,3,2,1,North Star Greenbelt,456
172,Northern Walnut Creek Greenbelt,19638,272,601,571,344,303,151,387.40866616,5,0,1,1,0,0,0,Northern Walnut Creek Greenbelt,2245
173,Northwest Balcones Neighborhood Park,1844,0,7,3,9,11,24,7.17204959,7,0,1,0,1,1,3,Northwest Balcones Neighborhood Park,56
174,Northwest Recreation Center,1883,2,3,4,4,6,9,6.66585983,4,0,0,0,0,1,1,Northwest Recreation Center,31
175,Norwood Tract at Town Lake Metro Park,4450,22,28,25,16,47,47,9.52917438,19,2,2,2,1,4,5,Norwood Tract at Town Lake Metro Park,189
176,Oak Springs School Park,1485,29,27,15,5,6,5,6.13,14,4,4,2,0,1,0,Oak Springs School Park,90
177,Oak View Neighborhood Park,1753,4,8,6,9,23,42,6.975217,13,0,1,0,1,3,6,Oak View Neighborhood Park,94
178,Oakhill Neighborhood Park,2435,2,2,6,5,11,20,14.495,3,0,0,0,0,0,1,Oakhill Neighborhood Park,48
179,Odom School Park,2565,40,39,36,18,15,8,4.3,36,9,9,8,4,3,1,Odom School Park,158
180,Oertli Neighborhood Park,1817,3,9,10,6,9,2,6.0,7,0,1,1,1,1,0,Oertli Neighborhood Park,42
181,Old Bakery and Emporium,3180,6,6,8,6,14,28,0.31203828,224,20,22,26,19,46,89,Old Bakery and Emporium,70
182,Old San Antonio Greenbelt,3151,8,18,13,18,22,11,28.33,3,0,0,0,0,0,0,Old San Antonio Greenbelt,92
183,Onion Creek Greenbelt,4815,104,106,99,89,35,20,235.65838265,1,0,0,0,0,0,0,Onion Creek Greenbelt,454
184,Onion Creek Metro Park,5792,34,50,56,60,37,14,517.312,0,0,0,0,0,0,0,Onion Creek Metro Park,254
185,Onion Creek Soccer Complex,1319,3,4,6,2,2,0,112.46,0,0,0,0,0,0,0,Onion Creek Soccer Complex,20
186,Onion Creek Wildlife Sanctuary,482,9,7,7,2,4,3,180.0,0,0,0,0,0,0,0,Onion Creek Wildlife Sanctuary,35
187,Ortega School Park,1449,18,24,13,8,5,8,4.23478002,18,4,5,3,2,1,1,Ortega School Park,79
188,Palma Plaza Pocket Park,1191,15,25,9,15,17,41,0.2066,609,76,125,44,73,86,203,Palma Plaza Pocket Park,125
189,Pan American Neighborhood Park,1794,46,32,17,4,9,5,5.22503385,22,8,6,3,0,1,1,Pan American Neighborhood Park,116
190,Parque Zaragoza Neighborhood Park,2065,17,33,24,8,15,4,15.273,6,1,2,1,0,1,0,Parque Zaragoza Neighborhood Park,103
191,Pastor Edward Clarence Craig Jr. Neighborhood Park,936,48,43,20,7,2,1,5.3,23,9,8,3,1,0,0,Pastor Edward Clarence Craig Jr. Neighborhood Park,123
192,Patterson Neighborhood Park,3039,15,11,17,7,14,15,9.29,8,1,1,1,0,1,1,Patterson Neighborhood Park,82
193,Payton Gin Pocket Park,3856,46,46,24,7,12,3,0.9709,144,47,47,25,7,13,3,Payton Gin Pocket Park,140
194,Peace Point at Town Lake Metro Park,1740,34,46,28,14,47,17,5.46668977,34,6,8,5,2,8,3,Peace Point at Town Lake Metro Park,189
195,Pease District Park,2734,84,42,44,4,32,52,42.68088432,6,1,0,1,0,0,1,Pease District Park,261
196,Pecan Springs School Park,779,37,29,9,7,5,5,4.55,21,8,6,1,1,1,1,Pecan Springs School Park,95
197,Perry Neighborhood Park,1158,0,2,9,1,6,33,10.3933043,5,0,0,0,0,0,3,Perry Neighborhood Park,54
