,Total_POP_,Not Hisp_1,White; N_1,Hispanic_1,fullarea_race,new_area,area_acre,weight,TotPopNS,NotHisNS,WhiteNS,HispanNS,Norm_byArea,Norm_nonhis,Norm_white,Norm_hislat
count,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0
mean,1637.2230215827337,1076.6960431654677,802.0467625899281,559.9874100719425,14046008.792712543,8606137.666417837,197.56973522538652,0.5439886108187942,898.3579136690647,601.1420863309353,444.98201438848923,296.51258992805754,17.223705166222892,12.865389450711803,9.87334589077955,4.310761968538526
std,1115.1518398170851,836.9108013556503,634.5166207070263,617.8715877432035,21688057.863773398,17205036.177797973,394.9732823185944,0.3596863376383294,955.7662156899971,704.8383161031833,514.0972982893096,415.30021467569287,135.23051534125068,116.93112978933365,93.24759219822072,19.094572745845042
min,0.0,0.0,0.0,0.0,0.0029357869238395215,9.7705389333555e-06,2.243007101321281e-10,7.678265173510916e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,969.75,600.0,383.25,137.5,4962298.577810713,1091128.0523034802,25.048853358665756,0.20172764775175842,201.75,111.0,77.0,34.75,3.98237192728616,2.306840988392722,1.4833721257767882,0.5067514710451938
50%,1380.5,933.5,696.5,312.0,7939940.741025101,3558512.064354082,81.69219615137929,0.5405036501212602,619.5,432.0,298.5,129.0,7.118957723405117,4.735818174399874,3.4447374312285897,1.4008740338458496
75%,2057.0,1346.0,1048.25,774.5,13223833.419402989,8288012.583484776,190.26658823426945,0.9254393070378837,1279.25,845.0,646.5,368.0,10.881331894756947,7.0759565892206195,5.584879122612585,3.5343123434941326
max,9001.0,7431.0,5423.0,3365.0,275485663.75916743,186417295.775542,4279.552244617585,1.0000000000000004,8677.0,7164.0,4248.0,2573.0,2405.442346917153,2101.8428274033377,1623.8681992456898,308.1346913804063
